"parameter","estimate.1111","se_psi.1111","se_hessian.1111","signif_psi.1111","signif_hessian.1111","estimate.0111","se_psi.0111","se_hessian.0111","signif_psi.0111","signif_hessian.0111","estimate.1011","se_psi.1011","se_hessian.1011","signif_psi.1011","signif_hessian.1011","estimate.1101","se_psi.1101","se_hessian.1101","signif_psi.1101","signif_hessian.1101","estimate.0101","se_psi.0101","se_hessian.0101","signif_psi.0101","signif_hessian.0101","estimate.1001","se_psi.1001","se_hessian.1001","signif_psi.1001","signif_hessian.1001","estimate.d0dd","se_psi.d0dd","se_hessian.d0dd","signif_psi.d0dd","signif_hessian.d0dd","estimate.0ddd","se_psi.0ddd","se_hessian.0ddd","signif_psi.0ddd","signif_hessian.0ddd","estimate.dddd","se_psi.dddd","se_hessian.dddd","signif_psi.dddd","signif_hessian.dddd","estimate.0011","se_psi.0011","se_hessian.0011","signif_psi.0011","signif_hessian.0011","estimate.000d","se_psi.000d","se_hessian.000d","signif_psi.000d","signif_hessian.000d"
"beta_intercept_y1",2.60543003313381,1.13176566058881,0.312672457441764,"*","***",1.982256443024,1.13426738789264,0.416495653821473,".","***",1.80647897686872,1.02162075199814,0.0316903448061167,".","***",25.4193339544723,2.93839937594367,0.158043961572741,"***","***",28.2743605051841,3.36091999316854,0.311341872758362,"***","***",18.9296132042532,2.52581406266802,0.173450752405525,"***","***",1.76163746508264,0.999567373654997,,".","",1.94904286936763,1.09843555083439,,".","",2.3725718273546,1.12082409124996,,"*","",1.79906770884608,1.03974824244511,,".","",31.1441337216437,3.13368557077504,,"***",""
"beta_x_common1_y1",-0.275504914863195,0.140755921429472,0.0402940797710502,".","***",-0.198605728221565,0.141136742732973,0.0530182706349706,"","***",-0.184540513839337,0.127863542080963,0.0213027413762223,"","***",-2.97021452620156,0.370778848115425,0.0507288584373232,"***","***",-3.33096602263425,0.421397239778779,0.0400711404115074,"***","***",-2.19106973956267,0.321072614149203,0.0435047608302268,"***","***",-0.178032612576695,0.12274165405599,,"","",-0.193816213359996,0.135643042317248,,"","",-0.242234393452663,0.138089149509067,,".","",-0.183959551940378,0.130132685236942,,"","",-3.56908341863832,0.398332865820977,,"***",""
"beta_x_common2_y1",-0.0128848300947164,0.0160409955989248,0.0161460723842779,"","",-0.0133289574563357,0.0162970771476025,0.016338519516405,"","",-0.00500792474066732,0.0173581171073772,0.0261210970853866,"","",-0.236250309685992,0.0494569069099845,0.0748849718251919,"***","**",-0.220126003189298,0.0503863845103093,0.0680991393271201,"***","**",-0.205278981009796,0.0467884922170451,0.0696041230145204,"***","**",-0.00645131506691102,0.0166343494266668,,"","",-0.0139589686404567,0.0158080946390995,,"","",-0.0182389336201445,0.0157313332313942,,"","",-0.00500185044972816,0.017666213910902,,"","",-0.375237594030178,0.0579965559647458,,"***",""
"beta_x_specific1_1_y1",-0.150158558662503,0.0217081578494657,0.0216557830861344,"***","***",-0.149969544310173,0.0220802303027211,0.0219390712524199,"***","***",-0.156635950506025,0.0231936038024688,0.0180995737465603,"***","***",-0.389564695228901,0.0719986951193971,0.0551109552462533,"***","***",-0.366841335234971,0.0719614120709454,0.071421964013334,"***","***",-0.383295025170776,0.0696400440735633,0.0498121858221238,"***","***",-0.158072598596872,0.0233411951082501,,"***","",-0.148164030984373,0.0220970673083063,,"***","",-0.15119856082201,0.0218642816256244,,"***","",-0.156985236293952,0.0236185408723232,,"***","",-0.53882073558783,0.0866744179306134,,"***",""
"beta_intercept_y2",3.65273696564614,0.969620335776086,0.110043611612644,"***","***",3.15562529925322,0.998871374102093,0.100224881156033,"**","***",3.80844793029072,0.882143566479958,0.237808700320673,"***","***",12.3888615790318,1.9397367575021,0.2536789497537,"***","***",13.5885303840084,3.55023022782744,3.3059100228534,"***","***",12.5407220708712,2.13461885130091,0.146542271262492,"***","***",1.47131558559541,0.641746382982263,,"*","",1.61641111778913,0.803196611052132,,"*","",1.61683474118484,0.779719604741807,,"*","",3.56765806441786,0.912202674480833,,"***","",9.73843782903881,3.65795267055336,,"**",""
"beta_x_common1_y2",-0.490846229961755,0.120573714410391,0.0133521154012686,"***","***",-0.431142003693414,0.124130127411978,0.0124096303982482,"***","***",-0.505670106299261,0.11016585584118,0.0513088575700433,"***","***",-1.73120746728827,0.248759947705578,0.0465492875416007,"***","***",-1.86043855666837,0.441135985877594,0.409366667178027,"***","***",-1.7519167174628,0.272326880088056,0.0453543763388976,"***","***",-0.224103952579958,0.0829006522691123,,"**","",-0.247920293014738,0.101406955842851,,"*","",-0.246064874077855,0.0986187801214333,,"*","",-0.477721173138132,0.113919791728757,,"***","",-1.710503128246,0.466666663313231,,"***",""
"beta_x_common2_y2",0.0203527075124737,0.0146510202136237,0.027690869310203,"","",0.0211720792137709,0.0147303759626546,0.017434788391603,"","",0.0139538140271521,0.0150590040529422,0.0911409168763022,"","",0.201259357277281,0.0443620866510191,0.0833307936402891,"***","*",0.164582343191474,0.0494119995911504,0.0505249648651162,"***","**",0.202979799801609,0.0461997369740836,0.0687793563954863,"***","**",0.0256925225518866,0.0151007291225116,,".","",0.0320104871886031,0.0143717709933673,,"*","",0.0303787466099994,0.014422610643567,,"*","",0.0145671721843944,0.0155723130783934,,"","",0.529780396299329,0.0791891406607161,,"***",""
"beta_x_specific2_1_y2",0.000889673991364564,0.000472409034766407,0.000487804013533719,".",".",0.000971082254757225,0.000477078035966056,0.000481469066455131,"*","*",0.000963422261429544,0.000479955319398968,0.000540445319897471,"*",".",0.00384147895268654,0.00159232503966613,0.00167017911092239,"*","*",0.00406529674523147,0.00167969370820361,0.00169361073444165,"*","*",0.00388154346852941,0.00163981947733129,0.00165668561752095,"*","*",0.00111334330155704,0.000495647922943399,,"*","",0.00100011917855285,0.000480919869719905,,"*","",0.00100352515438039,0.000480376550072364,,"*","",0.00103061690485103,0.000496599715638999,,"*","",0.00784088166920269,0.00282162342454632,,"**",""
"A[1,1]",1.03704452959382,0.0215649402838775,0.0202304677779128,"***","***",1.02412279251025,0.021676853532798,0.0188137447594949,"***","***",1.01685203505409,0.0201122913270368,0.0156502106161516,"***","***",,,,"","",,,,"","",,,,"","",1.01685109821917,0.0242672747887887,,"***","",1.02460054842499,0.0212235992638548,,"***","",1.0386864218266,0.0222185287785559,,"***","",1.01443653340995,0.0204699034681717,,"***","",,,,"",""
"A[1,2]",-0.0213141737191252,0.0166991459879374,0.0185505850779981,"","",-0.00419540143797278,0.0165444581398433,0.016243867940437,"","",-0.0128287675835183,0.0138648071079515,0.0151531584145114,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",-0.00235570338863768,0.0141105706708456,,"","",,,,"",""
"A[2,1]",-0.0284301799436459,0.0182758955519199,0.0187453855186769,"","",-0.0466566775571582,0.018775568025861,0.0148362746008556,"*","**",-0.0424528760445381,0.016776993679476,0.0222283729825576,"*",".",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",-0.0584183210544366,0.0173486404535055,,"***","",,,,"",""
"A[2,2]",0.916785161971225,0.014128888882664,0.0187539746536358,"***","***",0.937071516925471,0.014681001068861,0.014889987255933,"***","***",0.923650580336648,0.0123069688269864,0.0296585323373567,"***","***",,,,"","",,,,"","",,,,"","",0.918656120509839,0.0200010746553502,,"***","",0.941599365929442,0.0150655093200305,,"***","",0.928375017609021,0.0179685399933846,,"***","",0.947241396967866,0.0127265080418002,,"***","",,,,"",""
"R[1,1]",-0.0576695718094969,,0.0290101824310091,"","*",,,,"","",-0.00235695621978581,,0.0126670617163623,"","",0.31157935410185,,0.0500547800618395,"","***",,,,"","",0.520591754225513,,0.0405221207546075,"","***",-0.00298818457347852,,,"","",,,,"","",-0.0548167871008108,,,"","",,,,"","",,,,"",""
"R[1,2]",0.0123245337138137,,0.0280514199178233,"","",,,,"","",0.015464767947799,,0.0128478963493456,"","",-0.102524898990175,,0.0492311378197576,"","*",,,,"","",-0.0353125502179309,,0.0304124624041898,"","",0,,,"","",,,,"","",0,,,"","",,,,"","",,,,"",""
"R[2,1]",-0.0442179394204919,,0.0248543509733755,"",".",,,,"","",-0.0261249798260772,,0.00502189445858325,"","***",-0.207631991982508,,0.036553066660467,"","***",,,,"","",-0.216431985434866,,0.0304531877932135,"","***",0,,,"","",,,,"","",0,,,"","",,,,"","",,,,"",""
"R[2,2]",0.0334018912139877,,0.0242481313867461,"","",,,,"","",0.0317932307662971,,0.0120108957958216,"","**",0.763024556462262,,0.03462712381996,"","***",,,,"","",0.735077899819793,,0.0344500226672304,"","***",0.0606677532737302,,,"","",,,,"","",0.0360848244157742,,,"","",,,,"","",,,,"",""
"Lambda[1,1]",0.516369645408955,,0.0816888470270171,"","***",0.479376504852252,,0.0844438240831867,"","***",,,,"","",0.334152618447528,,0.062334346483884,"","***",0.673365463076706,,0.0801571360277069,"","***",,,,"","",,,,"","",0.489771469280967,,,"","",0.53469003851663,,,"","",,,,"","",,,,"",""
"Lambda[1,2]",0.11059191239981,,0.0521532438026406,"","*",-0.136536809387291,,0.0533687639566049,"","*",,,,"","",0.0586388025149959,,0.0755919233553758,"","",-0.00176572517100905,,0.0688078031975345,"","",,,,"","",,,,"","",0,,,"","",0,,,"","",,,,"","",,,,"",""
"Lambda[2,1]",-0.0256348558085285,,0.0710186276408666,"","",0.15060668171538,,0.0705571183624019,"","*",,,,"","",0.0874215947503213,,0.0700914759992645,"","",-0.237858214455017,,0.110359893337236,"","*",,,,"","",,,,"","",0,,,"","",0,,,"","",,,,"","",,,,"",""
"Lambda[2,2]",0.302714361817745,,0.0995812232368833,"","**",0.374415400034696,,0.0949073016045716,"","***",,,,"","",-0.134146815075896,,0.0691363864603545,"",".",0.781856582496533,,0.0436178669775174,"","***",,,,"","",,,,"","",0.443149262444663,,,"","",0.39844822919951,,,"","",,,,"","",,,,"",""
"Sigma[1,1]",0.0219960408486039,,,"","",0.02289735376203,,,"","",0.0271989059654417,,,"","",0.268027004782273,,,"","",0.263059591906443,,,"","",0.273263323811898,,,"","",0.0273202099742035,,,"","",0.0226987965124556,,,"","",0.022006946084914,,,"","",0.0273182104801378,,,"","",0.419821631640444,,,"",""
"Sigma[1,2]",-0.0015288947942995,,,"","",-0.00126079778180752,,,"","",-0.00115181959638585,,,"","",-0.0244761987725293,,,"","",-0.035459014466165,,,"","",-0.0238079559193931,,,"","",0,,,"","",0,,,"","",0,,,"","",-0.000854226486552966,,,"","",0,,,"",""
"Sigma[2,2]",0.0195062582921382,,,"","",0.0198083409230308,,,"","",0.0208753621963252,,,"","",0.244192656523754,,,"","",0.258783302309534,,,"","",0.252646102839696,,,"","",0.0221740365494937,,,"","",0.0199313276134332,,,"","",0.0199133156880552,,,"","",0.0216462754058447,,,"","",0.74188791938678,,,"",""
"loglik",198.123894774516,,,"","",193.51395713416,,,"","",178.230466024066,,,"","",-314.719300073758,,,"","",-323.443904467606,,,"","",-318.596750673802,,,"","",171.513353388901,,,"","",190.423524128057,,,"","",193.188726521102,,,"","",174.101819854977,,,"","",-442.376940635453,,,"",""
"AIC",-350.247789549033,,,"","",-349.027914268321,,,"","",-318.460932048132,,,"","",667.438600147516,,,"","",676.887808935211,,,"","",667.193501347604,,,"","",-315.026706777802,,,"","",-352.847048256114,,,"","",-354.377453042205,,,"","",-318.203639709954,,,"","",904.753881270906,,,"",""
"BIC",-258.67526269018,,,"","",-273.381044254485,,,"","",-242.814062034297,,,"","",743.085470161351,,,"","",736.609022104028,,,"","",726.914714516421,,,"","",-259.286907820239,,,"","",-297.107249298552,,,"","",-290.674825662133,,,"","",-258.482426541137,,,"","",944.568023383451,,,"",""
"pAIC",-362.230510650033,,,"","",-356.17623229894,,,"","",-322.038762682446,,,"","",662.474076959531,,,"","",676.645001919437,,,"","",667.015505930696,,,"","",-315.026706777802,,,"","",-352.847048256114,,,"","",-354.377453042205,,,"","",-318.203639709954,,,"","",904.753881270906,,,"",""
"pBIC",-294.51207183169,,,"","",-294.759569781942,,,"","",-253.514305535072,,,"","",728.238035386994,,,"","",735.882857436657,,,"","",726.382382358305,,,"","",-259.286907820239,,,"","",-297.107249298552,,,"","",-290.674825662133,,,"","",-258.482426541137,,,"","",944.568023383451,,,"",""
"d_eff",17.0086394495,,,"","",15.4258409846904,,,"","",17.2110846828428,,,"","",16.5177384060076,,,"","",14.878596492113,,,"","",14.9110022915459,,,"","",14,,,"","",14,,,"","",16,,,"","",15,,,"","",10,,,"",""
"gamma",7.07945784384138,,,"","",5.62341325190349,,,"","",1258.92541179417,,,"","",17.7827941003892,,,"","",4.46683592150963,,,"","",6.30957344480193,,,"","",0,,,"","",0,,,"","",0,,,"","",0,,,"","",0,,,"",""
"n_params",23,,,"","",19,,,"","",19,,,"","",19,,,"","",15,,,"","",15,,,"","",14,,,"","",14,,,"","",16,,,"","",15,,,"","",10,,,"",""
"pseudo_R2",0.97662408694662,,,"","",0.976099327580514,,,"","",0.976537184550749,,,"","",0.533098110927331,,,"","",0.383808785984786,,,"","",0.509369023472901,,,"","",0.975657409133619,,,"","",0.975466798012761,,,"","",0.975758780569276,,,"","",0.97616939721082,,,"","",0.437988369917316,,,"",""
"adj_R2",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",0.974760572520416,,,"","",0.974363227641933,,,"","",0.974696214546235,,,"","",0.975420791042338,,,"","",0.429297468421192,,,"",""
"pseudo_R2_y1",0.974571740822162,,,"","",0.974196460267148,,,"","",0.974418276420564,,,"","",0.628257442388341,,,"","",0.604253396039006,,,"","",0.619951093172706,,,"","",0.974311768143628,,,"","",0.974197899021466,,,"","",0.974466095025664,,,"","",0.97427694439751,,,"","",0.612678429025528,,,"",""
"pseudo_R2_y2",0.978676433071077,,,"","",0.97800219489388,,,"","",0.978656092680935,,,"","",0.437938779466322,,,"","",0.163364175930566,,,"","",0.398786953773096,,,"","",0.977003050123609,,,"","",0.976735697004056,,,"","",0.977051466112888,,,"","",0.978061850024129,,,"","",0.263298310809104,,,"",""
