"parameter","estimate.1111","se_psi.1111","se_hessian.1111","signif_psi.1111","signif_hessian.1111","estimate.0111","se_psi.0111","se_hessian.0111","signif_psi.0111","signif_hessian.0111","estimate.1011","se_psi.1011","se_hessian.1011","signif_psi.1011","signif_hessian.1011","estimate.1101","se_psi.1101","se_hessian.1101","signif_psi.1101","signif_hessian.1101","estimate.0101","se_psi.0101","se_hessian.0101","signif_psi.0101","signif_hessian.0101","estimate.1001","se_psi.1001","se_hessian.1001","signif_psi.1001","signif_hessian.1001","estimate.d0dd","se_psi.d0dd","se_hessian.d0dd","signif_psi.d0dd","signif_hessian.d0dd","estimate.0ddd","se_psi.0ddd","se_hessian.0ddd","signif_psi.0ddd","signif_hessian.0ddd","estimate.dddd","se_psi.dddd","se_hessian.dddd","signif_psi.dddd","signif_hessian.dddd","estimate.0011","se_psi.0011","se_hessian.0011","signif_psi.0011","signif_hessian.0011","estimate.000d","se_psi.000d","se_hessian.000d","signif_psi.000d","signif_hessian.000d"
"beta_intercept_y1",2.60543003313381,1.13176566058881,0.312672457441764,"*","***",1.982256443024,1.13426738789264,0.416495653821473,".","***",1.79932084632827,1.02386848745152,0.0353878374797864,".","***",25.2424971290923,2.87446545857383,0.241596682507609,"***","***",28.6623488438642,3.34031918662726,0.317615979782189,"***","***",19.6448858727937,2.53419096299544,0.175283180467371,"***","***",1.76163746508264,0.999567373654997,,".","",1.94904286936763,1.09843555083439,,".","",2.3725718273546,1.12082409124996,,"*","",1.79906770884608,1.03974824244511,,".","",31.1441337216437,3.13368557077504,,"***",""
"beta_x_common1_y1",-0.275504914863195,0.140755921429472,0.0402940797710502,".","***",-0.198605728221565,0.141136742732973,0.0530182706349706,"","***",-0.183992128419058,0.12814518736512,0.0197419183206489,"","***",-2.94194239755765,0.363324203272307,0.0540392801177723,"***","***",-3.37736153091104,0.418981379897586,0.0411411816879136,"***","***",-2.27676755154163,0.322137778220235,0.0421392495281728,"***","***",-0.178032612576695,0.12274165405599,,"","",-0.193816213359996,0.135643042317248,,"","",-0.242234393452663,0.138089149509067,,".","",-0.183959551940378,0.130132685236942,,"","",-3.56908341863832,0.398332865820977,,"***",""
"beta_x_common2_y1",-0.0128848300947164,0.0160409955989248,0.0161460723842779,"","",-0.0133289574563357,0.0162970771476025,0.016338519516405,"","",-0.00499772669402915,0.0173963973514891,0.0242157333054977,"","",-0.244478401387211,0.0495285458590949,0.0901332603398354,"***","**",-0.224470004322604,0.0507042132041331,0.0752803817047658,"***","**",-0.209407012679329,0.046945307985142,0.0679079312312193,"***","**",-0.00645131506691102,0.0166343494266668,,"","",-0.0139589686404567,0.0158080946390995,,"","",-0.0182389336201445,0.0157313332313942,,"","",-0.00500185044972816,0.017666213910902,,"","",-0.375237594030178,0.0579965559647458,,"***",""
"beta_x_specific1_1_y1",-0.150158558662503,0.0217081578494657,0.0216557830861344,"***","***",-0.149969544310173,0.0220802303027211,0.0219390712524199,"***","***",-0.156956559984835,0.0232570054700597,0.0188390953023279,"***","***",-0.401022390559367,0.0722283785576345,0.0591931396240395,"***","***",-0.374873463329924,0.0723948432923663,0.071865880566245,"***","***",-0.389890423678073,0.069862360764716,0.0502139152261749,"***","***",-0.158072598596872,0.0233411951082501,,"***","",-0.148164030984373,0.0220970673083063,,"***","",-0.15119856082201,0.0218642816256244,,"***","",-0.156985236293952,0.0236185408723232,,"***","",-0.53882073558783,0.0866744179306134,,"***",""
"beta_intercept_y2",3.65273696564614,0.969620335776086,0.110043611612644,"***","***",3.15562529925322,0.998871374102093,0.100224881156033,"**","***",3.56824754881445,0.89821812652176,0.24698843121745,"***","***",12.6610734313399,2.31709762737262,0.21874725077094,"***","***",13.3593624400257,3.55029519492271,3.21154684243273,"***","***",12.3154127027942,2.14710579222241,0.145913435572506,"***","***",1.47131558559541,0.641746382982263,,"*","",1.61641111778913,0.803196611052132,,"*","",1.61683474118484,0.779719604741807,,"*","",3.56765806441786,0.912202674480833,,"***","",9.73843782903881,3.65795267055336,,"**",""
"beta_x_common1_y2",-0.490846229961755,0.120573714410391,0.0133521154012686,"***","***",-0.431142003693414,0.124130127411978,0.0124096303982482,"***","***",-0.4777878115597,0.112173339664709,0.0533007174455419,"***","***",-1.79429660188481,0.294666250920422,0.0541042958528974,"***","***",-1.83477515427512,0.441327822622088,0.397434815543044,"***","***",-1.73185424252069,0.273919954500956,0.0459924695194433,"***","***",-0.224103952579958,0.0829006522691123,,"**","",-0.247920293014738,0.101406955842851,,"*","",-0.246064874077855,0.0986187801214333,,"*","",-0.477721173138132,0.113919791728757,,"***","",-1.710503128246,0.466666663313231,,"***",""
"beta_x_common2_y2",0.0203527075124737,0.0146510202136237,0.027690869310203,"","",0.0211720792137709,0.0147303759626546,0.017434788391603,"","",0.0145698855688616,0.0153335707969189,0.0954149187936925,"","",0.232011916178139,0.0483845280177173,0.0882631979528856,"***","**",0.170188932928109,0.0497715682539743,0.0508793106780083,"***","***",0.211461828075544,0.0464695428102658,0.0693849133664147,"***","**",0.0256925225518866,0.0151007291225116,,".","",0.0320104871886031,0.0143717709933673,,"*","",0.0303787466099994,0.014422610643567,,"*","",0.0145671721843944,0.0155723130783934,,"","",0.529780396299329,0.0791891406607161,,"***",""
"beta_x_specific2_1_y2",0.000889673991364564,0.000472409034766407,0.000487804013533719,".",".",0.000971082254757225,0.000477078035966056,0.000481469066455131,"*","*",0.00102945957883312,0.000488968904128211,0.000540628028924443,"*",".",0.0042986474075609,0.0017057837307556,0.00173841605428515,"*","*",0.00414989981534378,0.00169127053029309,0.00170481739014169,"*","*",0.00398422551525993,0.00164914779921763,0.00166655209517259,"*","*",0.00111334330155704,0.000495647922943399,,"*","",0.00100011917855285,0.000480919869719905,,"*","",0.00100352515438039,0.000480376550072364,,"*","",0.00103061690485103,0.000496599715638999,,"*","",0.00784088166920269,0.00282162342454632,,"**",""
"A[1,1]",1.03704452959382,0.0215649402838775,0.0202304677779128,"***","***",1.02412279251025,0.021676853532798,0.0188137447594949,"***","***",1.01445111872071,0.0201572276390575,0.0144272991342368,"***","***",,,,"","",,,,"","",,,,"","",1.01685109821917,0.0242672747887887,,"***","",1.02460054842499,0.0212235992638548,,"***","",1.0386864218266,0.0222185287785559,,"***","",1.01443653340995,0.0204699034681717,,"***","",,,,"",""
"A[1,2]",-0.0213141737191252,0.0166991459879374,0.0185505850779981,"","",-0.00419540143797278,0.0165444581398433,0.016243867940437,"","",-0.0023833206416236,0.0138950796107053,0.0131866046231065,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",-0.00235570338863768,0.0141105706708456,,"","",,,,"",""
