"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"beta_intercept_y1","1111",7.07945784384138,"pAIC",2.60543003313381,1.13176566058881,0.312672457441764,"*","***",0.276269609805173
"beta_x_common1_y1","1111",7.07945784384138,"pAIC",-0.275504914863195,0.140755921429472,0.0402940797710502,".","***",0.286269162688408
"beta_x_common2_y1","1111",7.07945784384138,"pAIC",-0.0128848300947164,0.0160409955989248,0.0161460723842779,"","",1.00655051519122
"beta_x_specific1_1_y1","1111",7.07945784384138,"pAIC",-0.150158558662503,0.0217081578494657,0.0216557830861344,"***","***",0.997587323452573
"beta_intercept_y2","1111",7.07945784384138,"pAIC",3.65273696564614,0.969620335776086,0.110043611612644,"***","***",0.113491443560293
"beta_x_common1_y2","1111",7.07945784384138,"pAIC",-0.490846229961755,0.120573714410391,0.0133521154012686,"***","***",0.110738194195648
"beta_x_common2_y2","1111",7.07945784384138,"pAIC",0.0203527075124737,0.0146510202136237,0.027690869310203,"","",1.89003010755892
"beta_x_specific2_1_y2","1111",7.07945784384138,"pAIC",0.000889673991364564,0.000472409034766407,0.000487804013533719,".",".",1.0325882395008
"A[1,1]","1111",7.07945784384138,"pAIC",1.03704452959382,0.0215649402838775,0.0202304677779128,"***","***",0.938118423311267
"A[1,2]","1111",7.07945784384138,"pAIC",-0.0213141737191252,0.0166991459879374,0.0185505850779981,"","",1.11087028590552
"A[2,1]","1111",7.07945784384138,"pAIC",-0.0284301799436459,0.0182758955519199,0.0187453855186769,"","",1.02568902658823
"A[2,2]","1111",7.07945784384138,"pAIC",0.916785161971225,0.014128888882664,0.0187539746536358,"***","***",1.32734957500067
"R[1,1]","1111",7.07945784384138,"pAIC",-0.0576695718094969,,0.0290101824310091,"","*",
"R[1,2]","1111",7.07945784384138,"pAIC",0.0123245337138137,,0.0280514199178233,"","",
"R[2,1]","1111",7.07945784384138,"pAIC",-0.0442179394204919,,0.0248543509733755,"",".",
"R[2,2]","1111",7.07945784384138,"pAIC",0.0334018912139877,,0.0242481313867461,"","",
"Lambda[1,1]","1111",7.07945784384138,"pAIC",0.516369645408955,,0.0816888470270171,"","***",
