"parameter","true","est_1111","bias_1111","est_0111","bias_0111","est_1011","bias_1011","est_1101","bias_1101","est_0101","bias_0101","est_1001","bias_1001","est_d0dd","bias_d0dd","est_0ddd","bias_0ddd","est_dddd","bias_dddd","est_0011","bias_0011","est_000d","bias_000d"
"beta_intercept_y1",0.2,0.181790033930578,-0.0182099660694219,0.420176297966447,0.220176297966446,0.148145573182644,-0.0518544268173559,0.361613108336849,0.161613108336849,0.611161546591771,0.411161546591771,0.305712001130798,0.105712001130798,0.224928148240782,0.0249281482407818,0.409018548671325,0.209018548671325,0.242619690179774,0.0426196901797743,0.406103052819827,0.206103052819827,0.597609459550343,0.397609459550343
"beta_intercept_y2",-0.1,-0.0897269193875767,0.0102730806124234,-0.113572191654243,-0.0135721916542429,-0.0648390618577342,0.0351609381422658,-0.136699583383393,-0.0366995833833928,-0.106632318422703,-0.00663231842270307,-0.0707179892211034,0.0292820107788967,-0.00555476898454397,0.094445231015456,-0.0774318623570576,0.0225681376429424,-0.00922023474560994,0.0907797652543901,-0.100645339910462,-0.000645339910461867,-0.109800480640695,-0.00980048064069539
"beta_x_common1_y1",1.2,1.17635916799188,-0.0236408320081247,1.11369509323839,-0.0863049067616097,1.17894255352968,-0.0210574464703168,1.0974379761142,-0.102562023885797,1.06602564387437,-0.133974356125629,1.0924188613417,-0.107581138658297,1.17225530079204,-0.0277446992079615,1.11801914105265,-0.0819808589473514,1.17302509779354,-0.0269749022064569,1.17390346047506,-0.0260965395249411,1.0821107356051,-0.117889264394897
"beta_x_common1_y2",0.8,0.783088267914402,-0.0169117320855982,0.72618502589213,-0.0738149741078696,0.782983295803879,-0.0170167041961213,0.773547641051562,-0.0264523589484379,0.736603372643718,-0.0633966273562823,0.761556765788683,-0.0384432342113169,0.767520077413671,-0.0324799225863291,0.717681893273868,-0.0823181067261325,0.765920197234588,-0.0340798027654116,0.801845876619986,0.00184587661998603,0.788400116424096,-0.0115998835759042
"beta_x_common2_y1",-0.6,-0.588947464646052,0.0110525353539485,-0.558490693685187,0.0415093063148125,-0.590862140745055,0.00913785925494448,-0.555472757875095,0.044527242124905,-0.547045379184419,0.0529546208155809,-0.549089985687156,0.0509100143128439,-0.587888730548017,0.0121112694519825,-0.558322059653666,0.0416779403463343,-0.588495964774159,0.0115040352258409,-0.59675326522092,0.00324673477908022,-0.559082336098174,0.0409176639018258
"beta_x_common2_y2",-0.3,-0.337659547936176,-0.0376595479361764,-0.315662150520432,-0.0156621505204322,-0.333222924354799,-0.0332229243547989,-0.314044628532166,-0.014044628532166,-0.30351637568126,-0.00351637568126034,-0.302666502632286,-0.00266650263228574,-0.329107382253298,-0.0291073822532978,-0.315591443007521,-0.0155914430075205,-0.332527895876427,-0.0325278958764269,-0.346168442934326,-0.0461684429343259,-0.314864865838782,-0.0148648658387817
"beta_x_specific1_1_y1",0.8,0.786388316573091,-0.0136116834269089,0.756086543953472,-0.0439134560465285,0.782289877675502,-0.0177101223244982,0.799978320364804,-2.16796351959481e-05,0.778188752545893,-0.0218112474541072,0.797455810567545,-0.00254418943245538,0.785133625406592,-0.0148663745934079,0.755978355644714,-0.0440216443552864,0.783015428930736,-0.0169845710692643,0.808295874352722,0.00829587435272194,0.872189701212434,0.0721897012124343
"beta_x_specific2_1_y2",0.5,0.481625126525734,-0.0183748734742664,0.46193728230436,-0.0380627176956395,0.480112037609672,-0.0198879623903279,0.510744077471964,0.0107440774719637,0.491168229224882,-0.00883177077511821,0.502530012846736,0.00253001284673626,0.474874784535912,-0.0251252154640879,0.459472788891135,-0.0405272111088653,0.478300166650566,-0.021699833349434,0.485468743428705,-0.0145312565712949,0.545375835502818,0.0453758355028179
"R[1,1]",0.45,0.365847420900235,-0.0841525790997651,,,0.414403595823191,-0.035596404176809,0.367284235194765,-0.082715764805235,,,0.461693681220929,0.0116936812209294,0.318168168410217,-0.131831831589783,,,0.285568192710232,-0.164431807289768,,,,
"R[1,2]",0.15,-0.121932076232842,-0.271932076232842,,,-0.164950367242621,-0.314950367242621,-0.192764363562765,-0.342764363562765,,,-0.184778656466256,-0.334778656466256,0,-0.15,,,0,-0.15,,,,
