"parameter","estimate.1111","se_psi.1111","se_hessian.1111","signif_psi.1111","signif_hessian.1111","estimate.0111","se_psi.0111","se_hessian.0111","signif_psi.0111","signif_hessian.0111","estimate.1011","se_psi.1011","se_hessian.1011","signif_psi.1011","signif_hessian.1011","estimate.1101","se_psi.1101","se_hessian.1101","signif_psi.1101","signif_hessian.1101","estimate.0101","se_psi.0101","se_hessian.0101","signif_psi.0101","signif_hessian.0101","estimate.1001","se_psi.1001","se_hessian.1001","signif_psi.1001","signif_hessian.1001","estimate.d0dd","se_psi.d0dd","se_hessian.d0dd","signif_psi.d0dd","signif_hessian.d0dd","estimate.0ddd","se_psi.0ddd","se_hessian.0ddd","signif_psi.0ddd","signif_hessian.0ddd","estimate.dddd","se_psi.dddd","se_hessian.dddd","signif_psi.dddd","signif_hessian.dddd","estimate.0011","se_psi.0011","se_hessian.0011","signif_psi.0011","signif_hessian.0011","estimate.000d","se_psi.000d","se_hessian.000d","signif_psi.000d","signif_hessian.000d"
"beta_intercept_y1",0.181790033930578,0.0215691281388131,0.0322200433320047,"***","***",0.420176297966447,0.0615338542503373,0.0616550235446488,"***","***",0.148145573182644,0.0168803432946197,0.0260750646885868,"***","***",0.361613108336849,0.0593405484335544,0.0793667305078672,"***","***",0.611161546591771,0.0798723792431794,0.0799094736230159,"***","***",0.305712001130798,0.0482026654728784,0.0703927649550237,"***","***",0.224928148240782,0.019937639610265,,"***","",0.409018548671325,0.0704139111300779,,"***","",0.242619690179774,0.0293636573206181,,"***","",0.406103052819827,0.0226213916513604,,"***","",0.597609459550343,0.0514147329945994,,"***",""
"beta_x_common1_y1",1.17635916799188,0.0160654584010274,0.0162057569354883,"***","***",1.11369509323839,0.0159934101435822,0.0162156064313597,"***","***",1.17894255352968,0.0164949408817276,0.0165597085625827,"***","***",1.0974379761142,0.0488253239770764,0.0490574863468385,"***","***",1.06602564387437,0.0473129726911654,0.0474117391632137,"***","***",1.0924188613417,0.0494474448153486,0.0496094968543483,"***","***",1.17225530079204,0.0169016617095944,,"***","",1.11801914105265,0.0160645079753843,,"***","",1.17302509779354,0.0162538903019918,,"***","",1.17390346047506,0.0221029661600627,,"***","",1.0821107356051,0.0527670005984511,,"***",""
"beta_x_common2_y1",-0.588947464646052,0.0158601280713088,0.0159194765855194,"***","***",-0.558490693685187,0.0159476276967295,0.0159897621720937,"***","***",-0.590862140745055,0.0162325326837187,0.0162558868251024,"***","***",-0.555472757875095,0.0484455036368793,0.0485215601315868,"***","***",-0.547045379184419,0.047253105910474,0.0475746663962989,"***","***",-0.549089985687156,0.0489247876814251,0.0489662801518787,"***","***",-0.587888730548017,0.0167030324479598,,"***","",-0.558322059653666,0.0160609502059501,,"***","",-0.588495964774159,0.0159502360442747,,"***","",-0.59675326522092,0.0217462797334868,,"***","",-0.559082336098174,0.0523118119521206,,"***",""
"beta_x_specific1_1_y1",0.786388316573091,0.0148716057326293,0.0149057562550541,"***","***",0.756086543953472,0.0150471203801951,0.0152197855454844,"***","***",0.782289877675502,0.0150876247219117,0.0152104394772789,"***","***",0.799978320364804,0.032515472776957,0.0326587314182431,"***","***",0.778188752545893,0.032309385952645,0.0326655020676159,"***","***",0.797455810567545,0.0325146354694893,0.0328081871101747,"***","***",0.785133625406592,0.0164943921832426,,"***","",0.755978355644714,0.0163248966846079,,"***","",0.783015428930736,0.0159020836047773,,"***","",0.808295874352722,0.0193782258362281,,"***","",0.872189701212434,0.0512793950579907,,"***",""
"beta_intercept_y2",-0.0897269193875767,0.0209799935293853,0.0314570792404414,"***","**",-0.113572191654243,0.068284645504829,0.0683682881291151,".",".",-0.0648390618577342,0.0170170579853902,0.0260231823552799,"***","*",-0.136699583383393,0.0692143584633154,0.0858224768690488,"*","",-0.106632318422703,0.0986639905881567,0.0988096640542413,"","",-0.0707179892211034,0.0429837624695165,0.0621842348995277,".","",-0.00555476898454397,0.0174497028204995,,"","",-0.0774318623570576,0.0726573311396984,,"","",-0.00922023474560994,0.0216903510509059,,"","",-0.100645339910462,0.0232385391660153,,"***","",-0.109800480640695,0.0489861990610842,,"*",""
"beta_x_common1_y2",0.783088267914402,0.0163447008568991,0.0164467661600703,"***","***",0.72618502589213,0.0163950594476608,0.0165933743629826,"***","***",0.782983295803879,0.0166106362516403,0.0166694816324922,"***","***",0.773547641051562,0.0427448783096971,0.0435176765522131,"***","***",0.736603372643718,0.0405399583260761,0.0406235615905429,"***","***",0.761556765788683,0.0440933728247751,0.0442028496068052,"***","***",0.767520077413671,0.0175147272709082,,"***","",0.717681893273868,0.0172492222401864,,"***","",0.765920197234588,0.0172429941143422,,"***","",0.801845876619986,0.0226835181585918,,"***","",0.788400116424096,0.0502735446452796,,"***",""
"beta_x_common2_y2",-0.337659547936176,0.0160759370945063,0.0161533778819508,"***","***",-0.315662150520432,0.0162717907535231,0.0163019010912969,"***","***",-0.333222924354799,0.0163030800295567,0.0163213207831519,"***","***",-0.314044628532166,0.0424181569247204,0.0425792430170136,"***","***",-0.30351637568126,0.0405106928917368,0.0407453765159169,"***","***",-0.302666502632286,0.0435469075726629,0.0435709898375094,"***","***",-0.329107382253298,0.0172911262824206,,"***","",-0.315591443007521,0.0171873339921965,,"***","",-0.332527895876427,0.0170582212418624,,"***","",-0.346168442934326,0.0222631224614205,,"***","",-0.314864865838782,0.0496398450259427,,"***",""
"beta_x_specific2_1_y2",0.481625126525734,0.0158379448955117,0.015977553872101,"***","***",0.46193728230436,0.0158989824953849,0.0160283434460313,"***","***",0.480112037609672,0.0161072634112949,0.0162026443760513,"***","***",0.510744077471964,0.0299450653850939,0.0301146609162098,"***","***",0.491168229224882,0.0287960919942043,0.0289146797210422,"***","***",0.502530012846736,0.0306916622548226,0.0307578129297755,"***","***",0.474874784535912,0.0180264572288302,,"***","",0.459472788891135,0.018096342233777,,"***","",0.478300166650566,0.0178368960027996,,"***","",0.485468743428705,0.0210844540290633,,"***","",0.545375835502818,0.051680120967071,,"***",""
"A[1,1]",0.559012246375021,0.0135746927393031,0.0136352146075775,"***","***",0.534918082919242,0.0140370327565441,0.0141701281530312,"***","***",0.555626495924565,0.0136750916925297,0.0137622935762225,"***","***",,,,"","",,,,"","",,,,"","",0.56353950831499,0.0102634248370199,,"***","",0.546911381069177,0.0102800544672914,,"***","",0.567554385062865,0.00998412002479544,,"***","",0.569524847687705,0.018325597684151,,"***","",,,,"",""
"A[1,2]",0.0194858596664017,0.0208041576973942,0.0210391005623854,"","",0.0245120611902279,0.0221800775633378,0.0223963376101372,"","",0.0250237330153198,0.0206564536942293,0.0212614213723313,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",0.0223564297347874,0.0276817080327924,,"","",,,,"",""
