"parameter","estimate.1111","se_psi.1111","se_hessian.1111","signif_psi.1111","signif_hessian.1111","estimate.0111","se_psi.0111","se_hessian.0111","signif_psi.0111","signif_hessian.0111","estimate.1011","se_psi.1011","se_hessian.1011","signif_psi.1011","signif_hessian.1011","estimate.1101","se_psi.1101","se_hessian.1101","signif_psi.1101","signif_hessian.1101","estimate.0101","se_psi.0101","se_hessian.0101","signif_psi.0101","signif_hessian.0101","estimate.1001","se_psi.1001","se_hessian.1001","signif_psi.1001","signif_hessian.1001","estimate.d0dd","se_psi.d0dd","se_hessian.d0dd","signif_psi.d0dd","signif_hessian.d0dd","estimate.0ddd","se_psi.0ddd","se_hessian.0ddd","signif_psi.0ddd","signif_hessian.0ddd","estimate.dddd","se_psi.dddd","se_hessian.dddd","signif_psi.dddd","signif_hessian.dddd","estimate.0011","se_psi.0011","se_hessian.0011","signif_psi.0011","signif_hessian.0011","estimate.000d","se_psi.000d","se_hessian.000d","signif_psi.000d","signif_hessian.000d"
"beta_intercept_y1",0.19180324580121,0.020187108419067,0.0277654574728251,"***","***",0.415948608334965,0.0653417620697305,0.0654247156465634,"***","***",0.154978056569519,0.0168900185192899,0.02537848883388,"***","***",0.421451170437831,0.0569450289300101,0.062304820002387,"***","***",0.607156608726911,0.0847405318660579,0.0847690528017134,"***","***",0.339499845459042,0.0482434200826259,0.0607532056692772,"***","***",0.224928148240782,0.019937639610265,,"***","",0.409018548671325,0.0704139111300779,,"***","",0.242619690179774,0.0293636573206181,,"***","",0.406103052819827,0.0226213916513604,,"***","",0.597609459550343,0.0514147329945994,,"***",""
"beta_x_common1_y1",1.17605103723119,0.0162060262649108,0.0162833777820791,"***","***",1.11563051597264,0.0161512412532488,0.0163085148093379,"***","***",1.17856641650532,0.0165044123920639,0.0165632885783347,"***","***",1.09195121703295,0.0491202585450562,0.0492097550653164,"***","***",1.06605449624128,0.0476986524238558,0.0477878195838744,"***","***",1.09082660446779,0.049489346610192,0.0495772588730525,"***","***",1.17225530079204,0.0169016617095944,,"***","",1.11801914105265,0.0160645079753843,,"***","",1.17302509779354,0.0162538903019918,,"***","",1.17390346047506,0.0221029661600627,,"***","",1.0821107356051,0.0527670005984511,,"***",""
"beta_x_common2_y1",-0.589026497220642,0.0159864034123645,0.0160104895783052,"***","***",-0.558753102322463,0.0160846751818863,0.0161314999795093,"***","***",-0.590811818368696,0.0162418982087012,0.0162642610063283,"***","***",-0.552208590263073,0.0486960764423151,0.0487166679049163,"***","***",-0.54136096172019,0.0475172345426815,0.0475631824103243,"***","***",-0.549028220690346,0.0489666429969356,0.0489974430116096,"***","***",-0.587888730548017,0.0167030324479598,,"***","",-0.558322059653666,0.0160609502059501,,"***","",-0.588495964774159,0.0159502360442747,,"***","",-0.59675326522092,0.0217462797334868,,"***","",-0.559082336098174,0.0523118119521206,,"***",""
"beta_x_specific1_1_y1",0.786110566107322,0.0149818331063749,0.015012359578497,"***","***",0.757472571751018,0.0151532502625425,0.015304171703039,"***","***",0.782826979551952,0.0151035384090156,0.0152233705552534,"***","***",0.801068649564477,0.0327513926993007,0.0328926310694209,"***","***",0.780138094878613,0.032460563147,0.0328205511634465,"***","***",0.798908352240027,0.0326214260761351,0.0329084522022716,"***","***",0.785133625406592,0.0164943921832426,,"***","",0.755978355644714,0.0163248966846079,,"***","",0.783015428930736,0.0159020836047773,,"***","",0.808295874352722,0.0193782258362281,,"***","",0.872189701212434,0.0512793950579907,,"***",""
"beta_intercept_y2",-0.0897510039552546,0.0197428036961604,0.0272733927511572,"***","***",-0.115733131922859,0.0715944960892661,0.0716263469220696,"","",-0.0672589491197181,0.0170284720635491,0.0253727013034863,"***","**",-0.0979006182653844,0.061300328333346,0.0666656312745439,"","",-0.115280300224835,0.112504589002474,0.112539593331958,"","",-0.0612159808214158,0.0430591441884915,0.0548504158095774,"","",-0.00555476898454397,0.0174497028204995,,"","",-0.0774318623570576,0.0726573311396984,,"","",-0.00922023474560994,0.0216903510509059,,"","",-0.100645339910462,0.0232385391660153,,"***","",-0.109800480640695,0.0489861990610842,,"*",""
"beta_x_common1_y2",0.7835572754677,0.0164483107633081,0.016508253354094,"***","***",0.727520242923452,0.01652023530794,0.0166986975671571,"***","***",0.783294871188876,0.01662177781537,0.0166759779576193,"***","***",0.769896983810057,0.0432814170945981,0.0435922699366878,"***","***",0.737051210776846,0.0409589009715597,0.0410366178863508,"***","***",0.762074100436147,0.0441707830182181,0.0442422357925444,"***","***",0.767520077413671,0.0175147272709082,,"***","",0.717681893273868,0.0172492222401864,,"***","",0.765920197234588,0.0172429941143422,,"***","",0.801845876619986,0.0226835181585918,,"***","",0.788400116424096,0.0502735446452796,,"***",""
"beta_x_common2_y2",-0.336871528951119,0.0161677223746345,0.016199260020596,"***","***",-0.315854831097787,0.016381890006132,0.0164134783811451,"***","***",-0.333411679242888,0.0163140187328965,0.016331327742192,"***","***",-0.31075339253475,0.0428860186928777,0.0429394080247991,"***","***",-0.298877273649747,0.0408214496688754,0.0408528886994478,"***","***",-0.303207319040252,0.0436233198475239,0.0436427033093844,"***","***",-0.329107382253298,0.0172911262824206,,"***","",-0.315591443007521,0.0171873339921965,,"***","",-0.332527895876427,0.0170582212418624,,"***","",-0.346168442934326,0.0222631224614205,,"***","",-0.314864865838782,0.0496398450259427,,"***",""
"beta_x_specific2_1_y2",0.480767028714765,0.0159581101963308,0.0160692210377455,"***","***",0.46327648992728,0.0160006624736676,0.0160747791242026,"***","***",0.480038701053837,0.0161257981909517,0.0162208151668576,"***","***",0.510157866816085,0.0303664866334643,0.0304504244400321,"***","***",0.493199006979744,0.0290281392716831,0.0291067606588985,"***","***",0.502768645266491,0.0308203172287563,0.0308829258830858,"***","***",0.474874784535912,0.0180264572288302,,"***","",0.459472788891135,0.018096342233777,,"***","",0.478300166650566,0.0178368960027996,,"***","",0.485468743428705,0.0210844540290633,,"***","",0.545375835502818,0.051680120967071,,"***",""
"A[1,1]",0.558971984342429,0.0136337419858351,0.0136743389196823,"***","***",0.53641354398464,0.0141393372170388,0.0142255376325258,"***","***",0.556115241514414,0.0136829335571331,0.0137613737809738,"***","***",,,,"","",,,,"","",,,,"","",0.56353950831499,0.0102634248370199,,"***","",0.546911381069177,0.0102800544672914,,"***","",0.567554385062865,0.00998412002479544,,"***","",0.569524847687705,0.018325597684151,,"***","",,,,"",""
"A[1,2]",0.0190153244319987,0.0208238820976685,0.0210566617213361,"","",0.0232465702821841,0.0222950948664154,0.0225097596855719,"","",0.0239651550933724,0.0206682937739572,0.0212251280565568,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",,,,"","",0.0223564297347874,0.0276817080327924,,"","",,,,"",""
