"model_id","n_params","d_eff_pAIC","d_eff_pBIC","loglik_pAIC","loglik_pBIC","AIC","pAIC","BIC","pBIC","gamma_pAIC","gamma_pBIC","R2_mean","adj_R2_mean","delta_AIC","delta_pAIC","delta_BIC","delta_pBIC"
"1111",23,21.3040275279565,20.1528562048808,-201.690584059288,-203.936851556831,449.381168118577,445.98922317449,557.127237854939,542.587722046814,31.6227766016838,100,0.9499553453483,,0,0,8.29515164407769,0
"1011",19,18.9482139248018,18.8431202677996,-210.912231692585,-211.128834900518,459.824463385171,459.720891234774,548.832086210861,548.216612529026,12.5892541179417,39.8107170553497,0.949960578647842,,10.443295266594,13.7316680602846,0,5.62889048221189
"dddd",16,16,16,-254.336350211876,-254.336350211876,540.672700423751,540.672700423751,615.626488066438,615.626488066438,0,0,0.952917075186792,0.95355171794787,91.2915323051748,94.6834772492618,66.794401855577,73.0387660196244
"d0dd",14,14,14,-265.709221410299,-265.709221410299,559.418442820599,559.418442820599,625.00300700795,625.00300700795,0,0,0.951839191399732,0.952229875550569,110.037274702022,113.429219646109,76.1709207970883,82.4152849611357
"0111",19,18.8656397610279,18.3792515912901,-271.939665488906,-272.595070887653,581.879330977811,581.610610499867,670.886953803502,668.048302508204,2.51188643150958,10,0.921963033209189,,132.498162859235,135.621387325378,122.054867592641,125.46058046139
"0ddd",14,14,14,-324.559570925381,-324.559570925381,677.119141850762,677.119141850762,742.703706038113,742.703706038113,0,0,0.943795120828465,0.949131920707966,227.737973732185,231.129918676272,193.871619827252,200.115983991299
"0011",15,15,15,-419.479596567195,-419.479596567195,868.95919313439,868.95919313439,939.228369049408,939.228369049408,0,0,0.922341300623318,0.921355784133767,419.578025015813,422.9699699599,390.396282838547,396.640647002595
"1101",19,16.6305787341664,15.0795287489405,-907.858867392164,-910.549768081201,1853.71773478433,1848.97889225266,1942.72535761002,1921.90033088528,17.7827941003892,70.7945784384138,0.60493827846137,,1404.33656666575,1402.98966907817,1393.89327139916,1379.31260883846
"0101",15,14.7300365036372,14.0646370563019,-913.803955650093,-914.801418922594,1857.60791130019,1857.06798430746,1927.8770872152,1923.61947565714,1.77827941003892,8.91250938133745,0.588280711795732,,1408.22674318161,1411.07876113297,1379.04500100434,1381.03175361032
"1001",15,14.6564212125818,14.2894805562449,-915.576761461998,-916.327972722808,1861.153522924,1860.46636534916,1931.42269883901,1928.17557475417,12.5892541179417,35.4813389233575,0.600804709468748,,1411.77235480542,1414.47714217467,1382.59061262815,1385.58785270736
"000d",10,10,10,-1133.05895105367,-1133.05895105367,2286.11790210733,2286.11790210733,2332.96401938401,2332.96401938401,0,0,0.589096335097387,0.585983428545095,1836.73673398875,1840.12867893284,1784.13193317315,1790.3762973372
