"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"beta_intercept_y1","1111",31.6227766016838,"pAIC",0.181790033930578,0.0215691281388131,0.0322200433320047,"***","***",1.49380369594196
"beta_x_common1_y1","1111",31.6227766016838,"pAIC",1.17635916799188,0.0160654584010274,0.0162057569354883,"***","***",1.00873293067392
"beta_x_common2_y1","1111",31.6227766016838,"pAIC",-0.588947464646052,0.0158601280713088,0.0159194765855194,"***","***",1.00374199463862
"beta_x_specific1_1_y1","1111",31.6227766016838,"pAIC",0.786388316573091,0.0148716057326293,0.0149057562550541,"***","***",1.00229635743703
"beta_intercept_y2","1111",31.6227766016838,"pAIC",-0.0897269193875767,0.0209799935293853,0.0314570792404414,"***","**",1.49938460163877
"beta_x_common1_y2","1111",31.6227766016838,"pAIC",0.783088267914402,0.0163447008568991,0.0164467661600703,"***","***",1.00624455008781
"beta_x_common2_y2","1111",31.6227766016838,"pAIC",-0.337659547936176,0.0160759370945063,0.0161533778819508,"***","***",1.00481718651854
"beta_x_specific2_1_y2","1111",31.6227766016838,"pAIC",0.481625126525734,0.0158379448955117,0.015977553872101,"***","***",1.00881484166729
"A[1,1]","1111",31.6227766016838,"pAIC",0.559012246375021,0.0135746927393031,0.0136352146075775,"***","***",1.00445843375144
"A[1,2]","1111",31.6227766016838,"pAIC",0.0194858596664017,0.0208041576973942,0.0210391005623854,"","",1.01129307268329
"A[2,1]","1111",31.6227766016838,"pAIC",0.0964629215132047,0.0137580123543019,0.0138151588706391,"***","***",1.00415368985472
"A[2,2]","1111",31.6227766016838,"pAIC",0.657001800260213,0.0210492778806005,0.0212986345106941,"***","***",1.0118463270573
"R[1,1]","1111",31.6227766016838,"pAIC",0.365847420900235,0.0220468234279999,0.0332572173134537,"***","***",1.50848113888445
"R[1,2]","1111",31.6227766016838,"pAIC",-0.121932076232842,0.0309803886325852,0.0407977237889859,"***","**",1.31688870248951
"R[2,1]","1111",31.6227766016838,"pAIC",0.0599192459943343,0.0214165077437135,0.0324173694265211,"**",".",1.5136627229076
"R[2,2]","1111",31.6227766016838,"pAIC",0.345326381032579,0.0304099615578286,0.0400462500369656,"***","***",1.31687933773978
"Lambda[1,1]","1111",31.6227766016838,"pAIC",0.263939616299248,0.0676035232665688,0.0703686748640215,"***","***",1.04090247762013
"Lambda[1,2]","1111",31.6227766016838,"pAIC",-0.0879107606304833,0.0680606958713964,0.0692792607487666,"","",1.0179040907791
"Lambda[2,1]","1111",31.6227766016838,"pAIC",-0.0573449229800076,0.0679522122307328,0.0690287327040015,"","",1.01584231679777
"Lambda[2,2]","1111",31.6227766016838,"pAIC",0.222207131926818,0.0703221585502308,0.0726680743286636,"**","**",1.03335955304553
"Sigma[1,1]","1111",31.6227766016838,"pAIC",0.0986068352888888,,,"","",
"Sigma[1,2]","1111",31.6227766016838,"pAIC",0.033246580576283,,,"","",
"Sigma[2,2]","1111",31.6227766016838,"pAIC",0.10138063580072,,,"","",
"beta_intercept_y1","0111",2.51188643150958,"pAIC",0.420176297966447,0.0615338542503373,0.0616550235446488,"***","***",1.00196914845962
"beta_x_common1_y1","0111",2.51188643150958,"pAIC",1.11369509323839,0.0159934101435822,0.0162156064313597,"***","***",1.01389299003669
"beta_x_common2_y1","0111",2.51188643150958,"pAIC",-0.558490693685187,0.0159476276967295,0.0159897621720937,"***","***",1.00264205285986
"beta_x_specific1_1_y1","0111",2.51188643150958,"pAIC",0.756086543953472,0.0150471203801951,0.0152197855454844,"***","***",1.01147496404139
"beta_intercept_y2","0111",2.51188643150958,"pAIC",-0.113572191654243,0.068284645504829,0.0683682881291151,".",".",1.00122491115928
"beta_x_common1_y2","0111",2.51188643150958,"pAIC",0.72618502589213,0.0163950594476608,0.0165933743629826,"***","***",1.01209601684916
"beta_x_common2_y2","0111",2.51188643150958,"pAIC",-0.315662150520432,0.0162717907535231,0.0163019010912969,"***","***",1.00185046244939
"beta_x_specific2_1_y2","0111",2.51188643150958,"pAIC",0.46193728230436,0.0158989824953849,0.0160283434460313,"***","***",1.00813642952836
"A[1,1]","0111",2.51188643150958,"pAIC",0.534918082919242,0.0140370327565441,0.0141701281530312,"***","***",1.00948173298414
"A[1,2]","0111",2.51188643150958,"pAIC",0.0245120611902279,0.0221800775633378,0.0223963376101372,"","",1.00975019344192
"A[2,1]","0111",2.51188643150958,"pAIC",0.0872267320148145,0.0143338668850217,0.0143765046553476,"***","***",1.00297461743352
"A[2,2]","0111",2.51188643150958,"pAIC",0.634429210872845,0.0226760495332873,0.0230698863060454,"***","***",1.01736796227138
"R[1,1]","0111",2.51188643150958,"pAIC",,,,"","",
"R[1,2]","0111",2.51188643150958,"pAIC",,,,"","",
"R[2,1]","0111",2.51188643150958,"pAIC",,,,"","",
"R[2,2]","0111",2.51188643150958,"pAIC",,,,"","",
"Lambda[1,1]","0111",2.51188643150958,"pAIC",0.884945717381436,0.113267407230183,0.11715228450275,"***","***",1.03429828021641
"Lambda[1,2]","0111",2.51188643150958,"pAIC",-0.173420322165129,0.120993265836444,0.124825449959786,"","",1.03167270588863
"Lambda[2,1]","0111",2.51188643150958,"pAIC",0.234084892352934,0.122122348079697,0.125994815169097,".",".",1.03170973331493
"Lambda[2,2]","0111",2.51188643150958,"pAIC",0.718856052888049,0.0477945749952804,0.05119782530709,"***","***",1.07120578668491
"Sigma[1,1]","0111",2.51188643150958,"pAIC",0.110049020880424,,,"","",
"Sigma[1,2]","0111",2.51188643150958,"pAIC",0.0426241292000046,,,"","",
"Sigma[2,2]","0111",2.51188643150958,"pAIC",0.114225232241552,,,"","",
"beta_intercept_y1","1011",12.5892541179417,"pAIC",0.148145573182644,0.0168803432946197,0.0260750646885868,"***","***",1.54469990529741
"beta_x_common1_y1","1011",12.5892541179417,"pAIC",1.17894255352968,0.0164949408817276,0.0165597085625827,"***","***",1.00392651791355
"beta_x_common2_y1","1011",12.5892541179417,"pAIC",-0.590862140745055,0.0162325326837187,0.0162558868251024,"***","***",1.00143872443313
"beta_x_specific1_1_y1","1011",12.5892541179417,"pAIC",0.782289877675502,0.0150876247219117,0.0152104394772789,"***","***",1.00814009876511
"beta_intercept_y2","1011",12.5892541179417,"pAIC",-0.0648390618577342,0.0170170579853902,0.0260231823552799,"***","*",1.52924097559177
"beta_x_common1_y2","1011",12.5892541179417,"pAIC",0.782983295803879,0.0166106362516403,0.0166694816324922,"***","***",1.00354263256148
"beta_x_common2_y2","1011",12.5892541179417,"pAIC",-0.333222924354799,0.0163030800295567,0.0163213207831519,"***","***",1.0011188532205
"beta_x_specific2_1_y2","1011",12.5892541179417,"pAIC",0.480112037609672,0.0161072634112949,0.0162026443760513,"***","***",1.00592161202812
"A[1,1]","1011",12.5892541179417,"pAIC",0.555626495924565,0.0136750916925297,0.0137622935762225,"***","***",1.00637669462505
"A[1,2]","1011",12.5892541179417,"pAIC",0.0250237330153198,0.0206564536942293,0.0212614213723313,"","",1.02928710257129
"A[2,1]","1011",12.5892541179417,"pAIC",0.0954897451018048,0.0137675442038935,0.0138513285674962,"***","***",1.00608564333347
"A[2,2]","1011",12.5892541179417,"pAIC",0.654243100250248,0.0207893859906058,0.0213470469828936,"***","***",1.02682431277864
"R[1,1]","1011",12.5892541179417,"pAIC",0.414403595823191,0.0175847445950308,0.0281657753005204,"***","***",1.60171648489451
"R[1,2]","1011",12.5892541179417,"pAIC",-0.164950367242621,0.0255400294249505,0.0355334553870281,"***","***",1.39128482570638
"R[2,1]","1011",12.5892541179417,"pAIC",0.0314711330838057,0.0177654757377136,0.0280866594982704,".","",1.5809686108572
"R[2,2]","1011",12.5892541179417,"pAIC",0.395714737332132,0.0250228274885309,0.0342664793221738,"***","***",1.36940876637061
"Lambda[1,1]","1011",12.5892541179417,"pAIC",,,,"","",
"Lambda[1,2]","1011",12.5892541179417,"pAIC",,,,"","",
"Lambda[2,1]","1011",12.5892541179417,"pAIC",,,,"","",
"Lambda[2,2]","1011",12.5892541179417,"pAIC",,,,"","",
"Sigma[1,1]","1011",12.5892541179417,"pAIC",0.10160241489551,,,"","",
"Sigma[1,2]","1011",12.5892541179417,"pAIC",0.0329862691434138,,,"","",
"Sigma[2,2]","1011",12.5892541179417,"pAIC",0.102897784072394,,,"","",
"beta_intercept_y1","1101",17.7827941003892,"pAIC",0.361613108336849,0.0593405484335544,0.0793667305078672,"***","***",1.33747888421923
"beta_x_common1_y1","1101",17.7827941003892,"pAIC",1.0974379761142,0.0488253239770764,0.0490574863468385,"***","***",1.00475495810066
"beta_x_common2_y1","1101",17.7827941003892,"pAIC",-0.555472757875095,0.0484455036368793,0.0485215601315868,"***","***",1.00156993918935
"beta_x_specific1_1_y1","1101",17.7827941003892,"pAIC",0.799978320364804,0.032515472776957,0.0326587314182431,"***","***",1.0044058606273
"beta_intercept_y2","1101",17.7827941003892,"pAIC",-0.136699583383393,0.0692143584633154,0.0858224768690488,"*","",1.23995192290247
"beta_x_common1_y2","1101",17.7827941003892,"pAIC",0.773547641051562,0.0427448783096971,0.0435176765522131,"***","***",1.01807931787562
"beta_x_common2_y2","1101",17.7827941003892,"pAIC",-0.314044628532166,0.0424181569247204,0.0425792430170136,"***","***",1.00379757405724
"beta_x_specific2_1_y2","1101",17.7827941003892,"pAIC",0.510744077471964,0.0299450653850939,0.0301146609162098,"***","***",1.00566355521135
"A[1,1]","1101",17.7827941003892,"pAIC",,,,"","",
"A[1,2]","1101",17.7827941003892,"pAIC",,,,"","",
"A[2,1]","1101",17.7827941003892,"pAIC",,,,"","",
