"parameter","model_id","gamma","criterion","estimate","se_psi","se_hessian","signif_psi","signif_hessian","SE_ratio"
"beta_intercept_y1","1111",100,"pBIC",0.19180324580121,0.020187108419067,0.0277654574728251,"***","***",1.3754053773546
"beta_x_common1_y1","1111",100,"pBIC",1.17605103723119,0.0162060262649108,0.0162833777820791,"***","***",1.00477300949066
"beta_x_common2_y1","1111",100,"pBIC",-0.589026497220642,0.0159864034123645,0.0160104895783052,"***","***",1.00150666571582
"beta_x_specific1_1_y1","1111",100,"pBIC",0.786110566107322,0.0149818331063749,0.015012359578497,"***","***",1.00203756589099
"beta_intercept_y2","1111",100,"pBIC",-0.0897510039552546,0.0197428036961604,0.0272733927511572,"***","***",1.38143463162029
"beta_x_common1_y2","1111",100,"pBIC",0.7835572754677,0.0164483107633081,0.016508253354094,"***","***",1.00364430072172
"beta_x_common2_y2","1111",100,"pBIC",-0.336871528951119,0.0161677223746345,0.016199260020596,"***","***",1.00195065484369
"beta_x_specific2_1_y2","1111",100,"pBIC",0.480767028714765,0.0159581101963308,0.0160692210377455,"***","***",1.00696265660832
"A[1,1]","1111",100,"pBIC",0.558971984342429,0.0136337419858351,0.0136743389196823,"***","***",1.00297768095431
"A[1,2]","1111",100,"pBIC",0.0190153244319987,0.0208238820976685,0.0210566617213361,"","",1.01117849316356
"A[2,1]","1111",100,"pBIC",0.095603438966956,0.0137894344258405,0.0138322777802386,"***","***",1.00310696966062
"A[2,2]","1111",100,"pBIC",0.65876223924985,0.0210244001279385,0.0212830185957868,"***","***",1.01230087261822
"R[1,1]","1111",100,"pBIC",0.352001175335103,0.0197268689909435,0.0271613007495719,"***","***",1.37686830900745
"R[1,2]","1111",100,"pBIC",-0.107085221927364,0.0272452570788664,0.0329829604204784,"***","**",1.21059457523205
"R[2,1]","1111",100,"pBIC",0.0590614362109793,0.0193559459520762,0.0268537177536572,"**","*",1.38736271635315
"R[2,2]","1111",100,"pBIC",0.338785878670593,0.0265905695544981,0.0321739724657902,"***","***",1.20997680774941
"Lambda[1,1]","1111",100,"pBIC",0.1999730071364,0.0483487354112227,0.0478318883770958,"***","***",0.98931001959553
"Lambda[1,2]","1111",100,"pBIC",-0.0634316123612252,0.0417642559902549,0.0413649998139064,"","",0.990440242095019
"Lambda[2,1]","1111",100,"pBIC",-0.0578053899751344,0.0416378808030389,0.0410259641367729,"","",0.985303847014679
"Lambda[2,2]","1111",100,"pBIC",0.167620456154916,0.0484583460991543,0.0475731821518812,"***","***",0.981733508909654
"Sigma[1,1]","1111",100,"pBIC",0.0996847031098773,,,"","",
"Sigma[1,2]","1111",100,"pBIC",0.0330033535954141,,,"","",
"Sigma[2,2]","1111",100,"pBIC",0.102060072733531,,,"","",
"beta_intercept_y1","0111",10,"pBIC",0.415948608334965,0.0653417620697305,0.0654247156465634,"***","***",1.00126953382041
