"gamma","logLik","deff","deff_exact_computed","hessian_ok","hessian_error","free_spatial_param_count","beta_sigma_count","nominal_param_count","pAIC","pAIC_lower_bound","pAIC_upper_bound","pBIC","pBIC_lower_bound","pBIC_upper_bound","AIC","BIC","optim_convergence","best_optim_converged","n_starts","n_successful_starts","n_converged_starts","retry_used"
0,-913.634696452661,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 4.89332e-50",4,11,15,NA,1849.26939290532,1857.26939290532,NA,1900.80012190967,1927.53856882034,1857.26939290532,1927.53856882034,0,TRUE,9,9,9,FALSE
0.01,-913.634710769636,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 2.41414e-32",4,11,15,NA,1849.26942153927,1857.26942153927,NA,1900.80015054362,1927.53859745429,1857.26942153927,1927.53859745429,0,TRUE,12,12,12,FALSE
0.0316227766016838,-913.634778151479,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 3.9105e-32",4,11,15,NA,1849.26955630296,1857.26955630296,NA,1900.80028530731,1927.53873221798,1857.26955630296,1927.53873221798,0,TRUE,12,12,12,FALSE
0.1,-913.635371047688,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 1.26836e-16",4,11,15,NA,1849.27074209538,1857.27074209538,NA,1900.80147109972,1927.5399180104,1857.27074209538,1927.5399180104,0,TRUE,12,12,12,FALSE
0.316227766016838,-913.641311360042,NA,FALSE,FALSE,"system is computationally singular: reciprocal condition number = 4.29784e-48",4,11,15,NA,1849.28262272008,1857.28262272008,NA,1900.81335172443,1927.5517986351,1857.28262272008,1927.5517986351,0,TRUE,12,12,12,FALSE
1,-913.694815432025,14.8552211341855,TRUE,TRUE,"",4,11,15,1857.10007313242,1849.38963086405,1857.38963086405,1926.69101627473,1900.9203598684,1927.65880677907,1857.38963086405,1927.65880677907,0,TRUE,12,12,12,FALSE
3.16227766016838,-914.057719190859,14.5006391892433,TRUE,TRUE,"",4,11,15,1857.1167167602,1850.11543838172,1858.11543838172,1925.04658116481,1901.64616738606,1928.38461429674,1858.11543838172,1928.38461429674,0,TRUE,12,12,12,FALSE
10,-914.878491458191,14.0455780390055,TRUE,TRUE,"",4,11,15,1857.84813899439,1851.75698291638,1859.75698291638,1923.64621859779,1903.28771192073,1930.0261588314,1859.75698291638,1930.0261588314,0,TRUE,12,12,12,FALSE
31.6227766016838,-916.112808298719,13.8624542664036,TRUE,TRUE,"",4,11,15,1859.95052513025,1854.22561659744,1862.22561659744,1924.8907409609,1905.75634560179,1932.49479251246,1862.22561659744,1932.49479251246,0,TRUE,12,12,12,FALSE
100,-922.843928784926,13.3065709441184,TRUE,TRUE,"",4,11,15,1872.30099945809,1867.68785756985,1875.68785756985,1934.63711775795,1919.2185865742,1945.95703348487,1875.68785756985,1945.95703348487,0,TRUE,12,12,12,FALSE
316.227766016838,-945.112941736704,NA,FALSE,FALSE,"",4,11,15,NA,1912.22588347341,1920.22588347341,NA,1963.75661247776,1990.49505938843,1920.22588347341,1990.49505938843,0,TRUE,12,12,12,FALSE
1000,-970.985000436022,NA,FALSE,FALSE,"",4,11,15,NA,1963.97000087204,1971.97000087204,NA,2015.50072987639,2042.23917678706,1971.97000087204,2042.23917678706,0,TRUE,12,12,12,FALSE
3162.27766016838,-984.851684973262,NA,FALSE,FALSE,"",4,11,15,NA,1991.70336994652,1999.70336994652,NA,2043.23409895087,2069.97254586154,1999.70336994652,2069.97254586154,0,TRUE,12,12,12,FALSE
10000,-990.112639217034,NA,FALSE,FALSE,"",4,11,15,NA,2002.22527843407,2010.22527843407,NA,2053.75600743842,2080.49445434909,2010.22527843407,2080.49445434909,0,TRUE,12,12,12,FALSE
