"Model_ID","Optimized_For","Optimal_gamma","Criterion_Value","free_spatial_param_count","beta_count","sigma_count","d_spatial_eff","d_eff_used","d_eff_unpenalized","rho11","rho12","rho21","rho22","lambda11","lambda12","lambda21","lambda22","alpha11","alpha12","alpha21","alpha22","sigma11","sigma12","sigma21","sigma22","beta_intercept_y1","beta_intercept_y2","beta_common1_y1","beta_common1_y2","beta_common2_y1","beta_common2_y2","beta_specific1_1","beta_specific2_1","logLik","beta_sigma_iterations","pseudo_R2_avg","AIC","BIC","pAIC","pBIC","Group"
"0011_pAIC","pAIC",0,868.959182618874,0,12,3,0,15,15,0,0,0,0,0,0,0,0,"0.5695***","0.0224","0.0849***","0.7256***",0.179830279236053,0.0780526032910308,0.0780526032910308,0.189143717606313,"0.4061***","-0.1006***","1.1739***","0.8018***","-0.5967***","-0.3462***","0.8082***","0.4855***",-419.479591309437,3,0.922346599577638,868.959182618874,939.228358533893,868.959182618874,939.228358533893,"pAIC"
"0011_pBIC","pBIC",0,939.228358533893,0,12,3,0,15,15,0,0,0,0,0,0,0,0,"0.5695***","0.0224","0.0849***","0.7256***",0.179830279236053,0.0780526032910308,0.0780526032910308,0.189143717606313,"0.4061***","-0.1006***","1.1739***","0.8018***","-0.5967***","-0.3462***","0.8082***","0.4855***",-419.479591309437,3,0.922346599577638,868.959182618874,939.228358533893,868.959182618874,939.228358533893,"pBIC"
"1011_pAIC","pAIC",12.5892541179417,459.720870225115,4,12,3,3.94821346370293,18.9482134637029,19,0.414426601375181,-0.164979068729378,0.0315001419286825,0.395678534024701,0,0,0,0,"0.5556***","0.025","0.0955***","0.6542***",0.10160224046684,0.0329864470324251,0.0329864470324251,0.1028984556352,"0.1481***","-0.0649***","1.1789***","0.783***","-0.5909***","-0.3332***","0.7823***","0.4801***",-210.912221648854,4,0.949960732163014,459.824443297709,548.832066123399,459.720870225115,548.485893235533,"pAIC"
"1011_pBIC","pBIC",39.8107170553497,548.216540504784,4,12,3,3.84312029699721,18.8431202969972,19,0.404678182615894,-0.155392355560756,0.0339468447804303,0.388340833094733,0,0,0,0,"0.5561***","0.024","0.0952***","0.6554***",0.101718849105639,0.0328892544742469,0.0328892544742469,0.103035482580796,"0.155***","-0.0673***","1.1786***","0.7833***","-0.5908***","-0.3334***","0.7828***","0.48***",-211.12879879081,4,0.950011782730229,460.257597581619,549.26522040731,459.943838175614,548.216540504784,"pBIC"
"0111_pAIC","pAIC",2.51188643150958,581.610621897546,4,12,3,3.86563167775519,18.8656316777552,19,0,0,0,0,0.884941576223399,-0.173415321998904,0.234079318031841,0.718856540180687,"0.5349***","0.0245","0.0872***","0.6344***",0.110048975386015,0.0426241313827884,0.0426241313827884,0.114225184748384,"0.4202***","-0.1136","1.1137***","0.7262***","-0.5585***","-0.3157***","0.7561***","0.4619***",-271.939679271018,3,0.921963028099874,581.879358542036,670.886981367726,581.610621897546,669.988781305022,"pAIC"
"0111_pBIC","pBIC",10,668.048327251414,4,12,3,3.37925355194851,18.3792535519485,19,0,0,0,0,0.776819513912464,-0.0474162048366269,0.107599656152639,0.724272407679182,"0.5364***","0.0232","0.0873***","0.6362***",0.110116726692866,0.0426994501001177,0.0426994501001177,0.114460993157729,"0.4159***","-0.1157","1.1156***","0.7275***","-0.5588***","-0.3159***","0.7575***","0.4633***",-272.595076706139,3,0.921961663570323,583.190153412277,672.197776237968,581.948660516174,668.048327251414,"pBIC"
"1111_pAIC","pAIC",31.6227766016838,445.988177181358,8,12,3,6.30397611114789,21.3039761111479,23,0.365842811892669,-0.121936697740657,0.0598965456250013,0.345338011050836,0.263986483544632,-0.0879455538552961,-0.0572734339254439,0.222216417500977,"0.559***","0.0195","0.0965***","0.657***",0.0986064899859679,0.0332465915648851,0.0332465915648851,0.101380351326701,"0.1818***","-0.0897***","1.1764***","0.7831***","-0.5889***","-0.3377***","0.7864***","0.4816***",-201.690112479531,3,0.949955247950848,449.380224959062,557.126294695424,445.988177181358,545.789033517599,"pAIC"
"1111_pBIC","pBIC",100,542.586840535478,8,12,3,5.15283724119002,20.15283724119,23,0.351992386054048,-0.107084905738375,0.0590566093872528,0.338782809742423,0.200009688589348,-0.0634213806734935,-0.0577811478422916,0.167638012556745,"0.559***","0.019","0.0956***","0.6588***",0.0996844415038366,0.0330032587427471,0.0330032587427471,0.10205998795046,"0.1918***","-0.0897***","1.1761***","0.7836***","-0.589***","-0.3369***","0.7861***","0.4808***",-203.936474183618,3,0.949893325680142,453.872948367236,561.619018103599,448.178622849616,542.586840535478,"pBIC"
"1001_pAIC","pAIC",12.5892541179417,1860.46659398449,4,8,3,3.65642069611417,14.6564206961142,15,0.461683643798168,-0.184772960242899,0.0580152161998699,0.477859422740542,0,0,0,0,NA,NA,NA,NA,0.928517752505736,0.61036928143255,0.61036928143255,0.737442062154915,"0.3057***","-0.0707","1.0924***","0.7616***","-0.5491***","-0.3027***","0.7975***","0.5025***",-915.576876296131,3,0.600804970136047,1861.15375259226,1931.42292850728,1860.46659398449,1929.12623426314,"pAIC"
"1001_pBIC","pBIC",35.4813389233575,1928.17544390592,4,8,3,3.28948096488005,14.28948096488,15,0.412584442795209,-0.148606822027466,0.0392720791715345,0.469784625324918,0,0,0,0,NA,NA,NA,NA,0.930086712588487,0.610697661575568,0.610697661575568,0.740023934905963,"0.3395***","-0.0612","1.0908***","0.7621***","-0.549***","-0.3032***","0.7989***","0.5028***",-916.327905932899,3,0.60075053530616,1862.6558118658,1932.92498778082,1861.23477379556,1928.17544390592,"pBIC"
"0101_pAIC","pAIC",1.77827941003892,1857.06802000118,4,8,3,3.73004664071349,14.7300466407135,15,0,0,0,0,0.847045769039298,-0.414106128462393,0.31177175204642,0.492817653843816,NA,NA,NA,NA,0.940721827421401,0.609091658254038,0.609091658254038,0.716249045331016,"0.6112***","-0.1066","1.066***","0.7366***","-0.547***","-0.3035***","0.7782***","0.4912***",-913.803963359876,3,0.588280710560523,1857.60792671975,1927.87710263477,1857.06802000118,1926.07256924336,"pAIC"
"0101_pBIC","pBIC",8.91250938133745,1923.62014765741,4,8,3,3.06471948442212,14.0647194844221,15,0,0,0,0,0.587804933157088,-0.159475566673896,0.0810058324963702,0.59258267368465,NA,NA,NA,NA,0.923685484976718,0.594990407428485,0.594990407428485,0.704713470194818,"0.6072***","-0.1153","1.0661***","0.7371***","-0.5414***","-0.2989***","0.7801***","0.4932***",-914.80147942274,3,0.588384181076246,1859.60295884548,1929.8721347605,1857.73239781432,1923.62014765741,"pBIC"
"1101_pAIC","pAIC",15.8489319246111,1848.97870127661,8,8,3,5.73858121309105,16.738581213091,19,0.373797577346785,-0.20140210788228,0.110319230767101,0.21851297066664,0.280976355204185,-0.105425261310325,0.0490723150336859,0.360181260598438,NA,NA,NA,NA,0.928617032567804,0.609767928087679,0.609767928087679,0.728962529310188,"0.3566***","-0.141*","1.0978***","0.7739***","-0.5558***","-0.3144***","0.7999***","0.5106***",-907.750769425213,3,0.605124308388364,1853.50153885043,1942.50916167612,1848.97870127661,1927.39245513198,"pAIC"
