"dgp","paramset","n","rep","seed","selected_pAIC","selected_pBIC","true_model","hit_pAIC","hit_pBIC","n_models_ok","pAIC_1111","pBIC_1111","pAIC_0111","pBIC_0111","pAIC_1011","pBIC_1011","pAIC_1101","pBIC_1101","pAIC_0101","pBIC_0101","pAIC_1001","pBIC_1001","pAIC_0011","pBIC_0011","pAIC_000d","pBIC_000d","pAIC_d0dd","pBIC_d0dd","pAIC_0ddd","pBIC_0ddd","pAIC_dddd","pBIC_dddd"
"1111","weak",100,1,31360712,"1111","1111","1111",1,1,11,105.132184475786,162.952935436615,105.469913660575,164.157915771139,106.606354249532,163.062434531082,252.908794944564,302.776996145908,252.429860535049,300.883903577687,259.570474897436,302.601923733388,122.74075901932,172.215519517541,328.235982908625,361.219156574105,123.062479227473,169.238922359145,132.184036935744,178.360480067417,123.323233061641,176.09631092641
"1111","weak",100,2,31360713,"1011","0011","1111",0,0,11,104.298903778193,157.115740963143,106.040663243285,155.821808308445,104.050911501161,156.758168715968,268.068070194856,306.382484255621,269.342822709602,306.127513529847,267.783151527392,306.050201885709,105.948494615841,155.423255114062,310.228841689597,343.212015355077,111.715695369505,157.892138501178,117.332071885427,163.508515017099,114.375034258235,167.148112123004
"1111","weak",100,3,31360714,"1111","0011","1111",1,0,11,127.98745286959,180.499045995339,129.331063267781,179.278003096519,128.360948496162,180.297165596135,311.910215514916,349.665369673188,311.409054249364,348.100123374278,311.84058007178,349.21349305811,129.585737353356,179.060497851576,367.548780765738,400.531954431218,134.927234502747,181.10367763442,135.927145583021,182.103588714694,136.803143446154,189.576221310923
"1111","weak",100,4,31360715,"1011","1011","1111",0,0,11,114.019509699347,169.62156976077,119.602222634036,172.491750640483,113.683514837028,169.372735233045,263.483319505079,303.969145145704,265.323745679701,302.751323199664,262.424579452252,303.50572540235,123.035820037151,172.510580535372,324.092521629787,357.075695295268,131.081620396745,177.258063528417,144.95875095845,191.135194090122,134.47841064266,187.251488507429
"1111","weak",100,5,31360716,"0111","0011","1111",0,0,11,103.41150539946,156.83230466922,99.8727450183591,153.589269786024,103.684588997289,156.753953309821,269.054469547055,282.373379613817,290.250455917592,327.571268701582,291.758003924861,330.192528818155,104.113535286668,153.588295784889,361.155591820184,394.138765485664,127.729758175894,173.906201307566,129.350211574405,175.526654706077,130.504187287136,183.277265151904
"1111","weak",100,6,31360717,"1011","1011","1111",0,0,11,114.847242820163,170.608289875342,122.348269713233,173.331024534471,114.60981833305,169.907024658348,270.090441124295,313.077406950218,269.901438011448,312.449804049186,268.128099140814,312.53755142049,123.719453979844,173.194214478064,337.881940973295,370.865114638775,125.802278476177,171.97872160785,131.783682621461,177.960125753134,128.875437014175,181.648514878944
"1111","weak",100,7,31360718,"1111","0011","1111",1,0,11,134.889982304702,188.228615812755,135.732928163096,186.624151869576,134.922186674547,188.008933863683,279.595110958992,318.376735581269,278.651765875889,315.539038038765,279.785502461574,318.12856735514,137.022552530727,186.497313028948,344.290054444288,377.273228109769,159.903617467596,206.080060599268,162.428425568107,208.60486869978,162.010834365576,214.783912230344
"1111","weak",100,8,31360719,"d0dd","d0dd","1111",0,0,11,106.266336668213,159.023150907294,107.970576335527,157.697240506881,106.229327779825,158.732584382212,287.876383444472,326.59547093875,288.420519266733,325.122250274238,287.588386055038,326.185387343439,107.902529035753,157.377289533973,316.45972860169,349.442902267171,103.321263304645,149.497706436317,106.686045380565,152.862488512237,104.178004421761,156.951082286529
"1111","weak",100,9,31360720,"1111","0ddd","1111",1,0,11,136.865225714068,194.711397182096,139.271855188012,192.859758405434,142.209752110073,194.996534684483,297.350778782064,335.838062880435,297.471727104794,334.209400435985,296.629039876158,335.169108675925,144.381662521263,193.856423019484,343.611217134733,376.594390800214,143.57291618694,189.749359318613,140.812903974739,186.989347106412,137.516459449242,190.289537314011
"1111","weak",100,10,31360721,"1111","d0dd","1111",1,0,11,100.473091686192,155.562094738948,105.244296464787,158.376623228666,100.623372493637,155.437160479372,260.621878660399,299.319162056752,260.066289253158,296.801627080697,260.44684920583,298.727006695233,109.026009935949,158.500770434169,296.801086628255,329.784260293736,103.253322302966,149.429765434639,110.955712059694,157.132155191366,103.831303277987,156.604381142756
"1111","weak",100,11,31360722,"1011","0011","1111",0,0,11,98.4678341287625,150.726447614609,98.7872445207897,148.49058779264,98.1052619464489,150.411012526004,219.213279186828,264.88447039455,214.648159506721,259.351375158168,227.343590104706,265.474938681102,98.7116953078965,148.186455806117,280.859577765563,313.842751431043,117.862980380119,164.039423511791,122.589290249673,168.765733381346,121.606553657024,174.379631521792
"1111","weak",100,12,31360723,"1011","1011","1111",0,0,11,107.371186975986,161.382961112125,112.541413636338,162.323760813928,106.954491579838,160.971175154715,238.188996093043,277.951122053266,237.703771098934,276.290824669778,238.302580918336,277.635190090215,112.4697413439,161.944501842121,296.500326834368,329.483500499849,124.297093013371,170.473536145044,132.942799516881,179.119242648554,128.08488740521,180.857965269978
"1111","weak",100,13,31360724,"0111","0ddd","1111",0,0,11,142.911373539268,200.119712535471,140.467360887526,196.215606734168,146.944118415135,200.512401046007,308.045312642656,346.979791816694,306.395848799479,345.839648073212,308.828951895689,347.037938951987,150.824860842985,200.299621341205,367.554757588552,400.537931254032,153.07665957411,199.253102705782,148.271388718987,194.447831850659,150.627637859574,203.400715724343
"1111","weak",100,14,31360725,"0111","0111","1111",0,0,11,125.4519776789,178.667462914252,123.278490687722,177.019051045953,126.071888283403,178.67222956362,255.927102122839,294.88658399396,255.621327760787,292.967934432711,253.503348032531,294.680799779066,127.738679849931,177.213440348152,299.718598387798,332.701772053278,134.357096335093,180.533539466765,135.790388335419,181.966831467092,135.361036602814,188.134114467583
"1111","weak",100,15,31360726,"1011","0011","1111",0,0,11,100.027426958778,153.115628850652,101.493515040833,151.213646863843,99.7890044618337,152.81788996704,279.93291111418,322.851864277436,280.044854197131,320.061030516338,281.9736927553,323.534886660322,101.410725329285,150.885485827505,355.976521917983,388.959695583463,114.572436820693,160.748879952365,119.400659698346,165.577102830018,117.97821545201,170.751293316778
"1111","weak",100,16,31360727,"1111","d0dd","1111",1,0,11,103.093287540379,161.805566378242,108.134461975503,161.90037092767,106.123414517894,161.606491324299,284.298496093513,325.244166002239,284.745591859271,322.774855373028,286.386246406465,324.814622900281,116.46863170977,165.94339220799,340.000111262628,372.983284928109,113.518336493158,159.694779624831,127.555574521689,173.732017653362,117.330793626983,170.103871491752
"1111","weak",100,17,31360728,"1011","1011","1111",0,0,11,136.169410850185,191.411912089554,142.590255986343,194.43135173132,135.236173778927,190.42648904402,274.254965941851,312.65480368463,274.847002905072,312.017003965936,274.114030244606,312.296145794822,144.931040662275,194.405801160496,317.340638074581,350.323811740061,149.061038757524,195.237481889196,155.81107507781,201.987518209482,151.893815832842,204.66689369761
"1111","weak",100,18,31360729,"1011","1011","1111",0,0,11,117.235994677675,172.562583393649,124.304271737599,175.918284851387,117.01803821409,172.24995466353,292.236401675969,333.725865879327,289.884291829579,330.919969999892,295.308363056234,334.209961167428,126.420460425767,175.895220923988,363.517869508621,396.501043174102,131.355232276943,177.531675408616,142.841699591148,189.01814272282,134.316732644477,187.089810509246
"1111","weak",100,19,31360730,"1111","1011","1111",1,0,11,101.845776106991,158.0152752868,107.649799120028,158.132354720515,102.576672694036,157.721126396761,266.784618326472,311.848004424449,276.747022511671,318.827714766529,268.848868608768,311.590830047774,114.743221063614,164.217981561834,359.932142684746,392.915316350227,123.175349372062,169.351792503734,128.662789427058,174.83923255873,124.885990274822,177.65906813959
"1111","weak",100,20,31360731,"1011","d0dd","1111",0,0,11,119.681128193941,176.943363993233,131.580985249769,182.801803793369,119.543365548106,176.230877629374,266.370299973471,313.503126212268,274.698770649865,317.192627910994,267.703552190574,312.677455130719,133.20826542693,182.68302592515,343.186612744881,376.169786410362,126.287925825036,172.464368956708,147.044650540462,193.221093672135,129.525960988311,182.299038853079
"1111","weak",100,21,31360732,"1011","d0dd","1111",0,0,11,96.90710945728,152.078733607282,102.892328969096,154.771784462224,96.8679974622974,151.946986340476,274.035025707288,315.702830938843,269.396767058556,312.88950347833,276.359647369972,316.013814505227,105.266977051969,154.741737550189,327.553697718804,360.536871384284,98.9382128754041,145.114656007077,108.135369834452,154.311812966124,102.009785538379,154.782863403148
"1111","weak",100,22,31360733,"1111","1111","1111",1,1,11,92.6699281694799,152.128186757866,108.546288128797,158.27849855426,95.3502844585062,152.152438110954,266.743441006871,314.210786398554,273.148937039872,316.250424274268,267.711330700538,312.307963320698,108.510408215675,157.985168713896,359.34863549888,392.33180916436,114.708948152055,160.885391283728,135.037606446723,181.214049578395,112.491545154239,165.264623019007
