"scope","n","dgp","paramset","prop1_pass_rate","prop1_min_sv_min","prop1_min_sv_median","prop2_min_eig","W_symmetric"
"W",900,NA,NA,NA,NA,NA,0.017750547645126,FALSE
"cell",900,"0111","mid",1,0.345151174178312,0.401690088233527,NA,NA
"cell",900,"1011","mid",1,0.274315600811999,0.338964503845914,NA,NA
"cell",900,"1111","mid",1,0.27925303806976,0.339124094510274,NA,NA
"cell",900,"0111","realistic",1,0.0110146146167446,0.0118176540061354,NA,NA
"cell",900,"1011","realistic",1,0.0111203514451651,0.011839578064782,NA,NA
"cell",900,"1111","realistic",1,0.0109487906476417,0.0118536647132647,NA,NA
"cell",900,"0111","strong",1,0.348462061610559,0.401332765906607,NA,NA
"cell",900,"1011","strong",1,0.0948697279935777,0.125015500666451,NA,NA
"cell",900,"1111","strong",1,0.0941441411666365,0.124064329111129,NA,NA
"cell",900,"0111","weak",1,0.336440882600419,0.400730897600196,NA,NA
"cell",900,"1011","weak",1,0.320084299804182,0.381724681459987,NA,NA
"cell",900,"1111","weak",1,0.336568393722351,0.38451007578258,NA,NA
