"parameter","true"
"beta_intercept_y1",1.982256443
"beta_x_common1_y1",-0.198605728
"beta_x_common2_y1",-0.013328957
"beta_x_specific1_1_y1",-0.149969544
"beta_intercept_y2",3.155625299
"beta_x_common1_y2",-0.431142004
"beta_x_common2_y2",0.021172079
"beta_x_specific2_1_y2",0.000971082
"A[1,1]",1.024122793
"A[1,2]",-0.004195401
"A[2,1]",-0.046656678
"A[2,2]",0.937071517
"R[1,1]",0
"R[1,2]",0
"R[2,1]",0
"R[2,2]",0
"Lambda[1,1]",0.479376505
"Lambda[1,2]",-0.136536809
"Lambda[2,1]",0.150606682
"Lambda[2,2]",0.3744154
"Sigma[1,1]",0.022897354
"Sigma[1,2]",-0.001260798
"Sigma[2,1]",-0.001260798
"Sigma[2,2]",0.019808341
