"gamma","logLik","deff","deff_exact_computed","hessian_ok","hessian_error","free_spatial_param_count","beta_sigma_count","nominal_param_count","pAIC","pAIC_lower_bound","pAIC_upper_bound","pBIC","pBIC_lower_bound","pBIC_upper_bound","AIC","BIC","optim_convergence","best_optim_converged","n_starts","n_successful_starts","n_converged_starts","retry_used"
0,-915.418470938976,15,TRUE,TRUE,"",4,11,15,1860.83694187795,1852.83694187795,1860.83694187795,1931.10611779297,1904.3676708823,1931.10611779297,1860.83694187795,1931.10611779297,0,TRUE,9,9,9,FALSE
0.01,-915.418471063828,14.9996452860965,TRUE,TRUE,"",4,11,15,1860.83623269985,1852.83694212766,1860.83694212766,1931.10374691796,1904.367671132,1931.10611804267,1860.83694212766,1931.10611804267,0,TRUE,12,12,12,FALSE
0.0316227766016838,-915.418472294021,14.9988789095766,TRUE,TRUE,"",4,11,15,1860.8347024072,1852.83694458804,1860.83694458804,1931.09862644887,1904.36767359239,1931.10612050306,1860.83694458804,1931.10612050306,0,TRUE,12,12,12,FALSE
0.1,-915.418484662176,14.9964609201254,TRUE,TRUE,"",4,11,15,1860.8298911646,1852.83696932435,1860.83696932435,1931.08248786454,1904.3676983287,1931.10614523937,1860.83696932435,1931.10614523937,0,TRUE,12,12,12,FALSE
0.316227766016838,-915.41860830501,14.9888691068892,TRUE,TRUE,"",4,11,15,1860.8149548238,1852.83721661002,1860.83721661002,1931.03198682641,1904.36794561437,1931.10639252504,1860.83721661002,1931.10639252504,0,TRUE,12,12,12,FALSE
1,-915.419816324245,14.9653913916946,TRUE,TRUE,"",4,11,15,1860.77041543188,1852.83963264849,1860.83963264849,1930.87746345455,1904.37036165284,1931.10880856351,1860.83963264849,1931.10880856351,0,TRUE,12,12,12,FALSE
3.16227766016838,-915.431039812152,14.895994944495,TRUE,TRUE,"",4,11,15,1860.65406951329,1852.8620796243,1860.8620796243,1930.43602212556,1904.39280862865,1931.13125553932,1860.8620796243,1931.13125553932,0,TRUE,12,12,12,FALSE
10,-915.523927117394,14.7141294816085,TRUE,TRUE,"",4,11,15,1860.476113198,1853.04785423479,1861.04785423479,1929.40609672997,1904.57858323914,1931.31703014981,1861.04785423479,1931.31703014981,0,TRUE,12,12,12,FALSE
31.6227766016838,-916.171399093806,14.3391101487467,TRUE,TRUE,"",4,11,15,1861.02101848511,1854.34279818761,1862.34279818761,1928.19418205225,1905.87352719196,1932.61197410263,1862.34279818761,1932.61197410263,0,TRUE,12,12,12,FALSE
100,-920.102237027165,13.734058531112,TRUE,TRUE,"",4,11,15,1867.67259111655,1862.20447405433,1870.20447405433,1932.01132277988,1913.73520305868,1940.47364996935,1870.20447405433,1940.47364996935,0,TRUE,12,12,12,FALSE
316.227766016838,-936.163925286,NA,FALSE,FALSE,"",4,11,15,NA,1894.327850572,1902.327850572,NA,1945.85857957635,1972.59702648702,1902.327850572,1972.59702648702,0,TRUE,12,12,12,FALSE
1000,-962.805584783895,NA,FALSE,FALSE,"",4,11,15,NA,1947.61116956779,1955.61116956779,NA,1999.14189857214,2025.88034548281,1955.61116956779,2025.88034548281,0,TRUE,12,12,12,FALSE
3162.27766016838,-980.951009169321,NA,FALSE,FALSE,"",4,11,15,NA,1983.90201833864,1991.90201833864,NA,2035.43274734299,2062.17119425366,1991.90201833864,2062.17119425366,0,TRUE,12,12,12,FALSE
10000,-988.673329289309,NA,FALSE,FALSE,"",4,11,15,NA,1999.34665857862,2007.34665857862,NA,2050.87738758296,2077.61583449364,2007.34665857862,2077.61583449364,0,TRUE,12,12,12,FALSE
