"model_id","ok","error","pAIC","pAIC_gamma","pAIC_deff","pAIC_logLik","pAIC_free_spatial_parameter_count","pAIC_beta_sigma_count","pBIC","pBIC_gamma","pBIC_deff","pBIC_logLik","pBIC_free_spatial_parameter_count","pBIC_beta_sigma_count"
"0011",TRUE,"",868.959182618874,0,15,-419.479591309437,0,15,939.228358533893,0,15,-419.479591309437,0,15
"1011",TRUE,"",459.72314247719,10,18.9586877556176,-210.902883482977,4,15,548.247928960323,31.6227766016838,18.8738178174787,-211.041892515869,4,15
"0111",TRUE,"",581.615361258281,3.16227766016838,18.8197733311549,-271.987907297986,4,15,668.048173351851,10,18.3792409743485,-272.595041794543,4,15
"1111",TRUE,"",445.989175070819,31.6227766016838,21.3040123125144,-201.690575222895,8,15,542.58767066794,100,20.1528575620242,-203.936821331406,8,15
"1001",TRUE,"",1860.476113198,10,14.7141294816085,-915.523927117394,4,11,1928.19418205225,31.6227766016838,14.3391101487467,-916.171399093806,4,11
"0101",TRUE,"",1857.10007313242,1,14.8552211341855,-913.694815432025,4,11,1923.64621859779,10,14.0455780390055,-914.878491458191,4,11
"1101",TRUE,"",1849.04425877148,10,17.1291269396975,-907.393002446043,8,11,1922.38686193774,100,14.6624861511636,-912.186917527452,8,11
"000d",TRUE,"",2286.11790210733,0,10,-1133.05895105367,0,10,2332.96401938401,0,10,-1133.05895105367,0,10
"d0dd",TRUE,"",559.418442820625,0,14,-265.709221410312,2,12,625.003007007976,0,14,-265.709221410312,2,12
"0ddd",TRUE,"",677.119141850814,0,14,-324.559570925407,2,12,742.703706038165,0,14,-324.559570925407,2,12
"dddd",TRUE,"",540.672700423796,0,16,-254.336350211898,4,12,615.626488066483,0,16,-254.336350211898,4,12
