"dgp","paramset","n","rep","seed","selected_pAIC","selected_pBIC","true_model","hit_pAIC","hit_pBIC","n_models_ok","pAIC_1111","pBIC_1111","pAIC_0111","pBIC_0111","pAIC_1011","pBIC_1011","pAIC_1101","pBIC_1101","pAIC_0101","pBIC_0101","pAIC_1001","pBIC_1001","pAIC_0011","pBIC_0011","pAIC_000d","pBIC_000d","pAIC_d0dd","pBIC_d0dd","pAIC_0ddd","pBIC_0ddd","pAIC_dddd","pBIC_dddd"
"1111","weak",400,1,31460712,"1111","d0dd","1111",1,0,11,391.462251458167,479.229429250943,422.921550984344,503.735100467395,394.719447668559,478.591510200834,1030.49723801032,1098.94845076009,1043.85299412192,1107.93143546397,1032.85167395827,1097.58572964795,439.674796140302,509.943972055321,1233.31174343774,1280.15786071442,410.529105229698,476.113669417049,447.524843261052,513.109407448403,409.693514388497,484.647302031184
"1111","weak",400,2,31460713,"1011","1011","1111",0,0,11,436.385376789896,521.005808810748,475.893371070604,553.503670050079,434.803249340775,518.515236512317,1099.193961976,1167.81055927961,1116.56578782854,1179.16463499025,1095.42689999245,1162.08026775452,483.677704826883,553.946880741902,1387.35715995511,1434.20327723179,481.061353639553,546.645917826904,536.721048541717,602.305612729068,483.605139175173,558.55892681786
"1111","weak",400,3,31460714,"1011","1011","1111",0,0,11,409.964241038146,494.877310221131,428.984781110709,507.396101163137,408.48982318419,492.938073976894,1110.89483546379,1170.1073193307,1109.7985195159,1165.1283574269,1111.15890059929,1168.85004808273,438.408782890459,508.677958805478,1301.5445830057,1348.39070028237,431.643538305948,497.228102493299,455.335474868273,520.920039055624,432.918479138122,507.872266780809
"1111","weak",400,4,31460715,"1011","1011","1111",0,0,11,421.837039393411,506.908863140253,464.957224067794,542.478998918201,420.782197850882,504.646593995294,1141.26144146481,1206.6081288935,1149.79467142933,1208.37632976608,1141.59065006893,1204.72216599716,473.391929880875,543.661105795894,1436.01143995966,1482.85755723634,483.037276852485,548.621841039836,534.317672251209,599.90223643856,486.617242075978,561.571029718664
"1111","weak",400,5,31460716,"1011","1011","1111",0,0,11,445.673335666621,529.388492050283,473.034856466479,548.867424314231,444.99538506728,528.136645783993,1059.85913799943,1123.41419210038,1072.65703172426,1128.58695628583,1057.23654695125,1120.48153476785,478.605829629463,548.875005544482,1222.92477517425,1269.77089245093,462.572266529874,528.156830717225,494.887796549436,560.472360736787,464.956350124456,539.910137767143
"1111","weak",400,6,31460717,"1111","1011","1111",1,0,11,436.938242654643,522.396076124223,458.405319552074,539.020316132913,437.52380082142,521.337840334859,1105.45462289482,1171.76724974034,1108.84639530181,1171.28306549043,1105.75210777203,1169.62189093485,476.095917884795,546.365093799814,1341.02499220291,1387.87110947959,481.876053825968,547.460618013319,511.885562471667,577.470126659018,483.81347384171,558.767261484397
"1111","weak",400,7,31460718,"1011","1011","1111",0,0,11,494.111195957271,580.85392784263,534.312186785288,615.836829192357,491.904847728487,577.313375532533,1157.75670912884,1225.80606469916,1165.67901307208,1228.78581855572,1158.31862714678,1224.4819281546,555.157811438746,625.426987353765,1386.91331170904,1433.75942898572,534.59930244845,600.183866635801,583.382193999664,648.966758187015,538.262896089789,613.216683732476
"1111","weak",400,8,31460719,"1111","1011","1111",1,0,11,394.31591609033,481.86995574475,437.354604969206,518.288249231445,395.812092244467,480.025098068824,1058.57770705991,1122.73696431824,1060.47552313445,1122.04853732947,1059.788457976,1122.10361207712,459.492471805283,529.761647720302,1271.34548367166,1318.19160094834,430.724073887935,496.308638075286,490.3930899849,555.977654172251,433.381802924788,508.335590567475
"1111","weak",400,9,31460720,"1011","1011","1111",0,0,11,401.787261865186,482.711491903621,415.960691095369,489.61418457369,401.169352973012,481.308443215375,1060.59776630856,1123.1826476885,1066.53744147642,1120.85948813506,1062.77737893596,1122.71403201082,418.776216085631,489.04539200065,1290.17016178823,1337.01627906491,452.369019661397,517.953583848748,471.909770610097,537.494334797448,455.45016866387,530.403956306557
"1111","weak",400,10,31460721,"1111","1011","1111",1,0,11,353.73262636159,434.359531713432,363.119084281305,438.151536652593,353.827823565788,433.250345120427,1024.85973887178,1084.1546151615,1026.52130071321,1080.28741346483,1024.0577968663,1082.31036667765,367.671958318006,437.941134233025,1258.17060625081,1305.01672352749,418.583561526811,484.168125714162,429.859018431884,495.443582619235,420.075797549564,495.029585192251
"1111","weak",400,11,31460722,"1011","1011","1111",0,0,11,494.369386689601,579.639536231441,529.554858280106,609.971237682109,492.565909547599,575.439802422127,1079.36299187771,1147.26801304942,1086.13798689751,1149.61062952414,1082.75155826485,1147.22251669835,544.966884778352,615.236060693371,1355.12230539513,1401.96842267181,561.422917763414,627.007481950765,604.228926715142,669.813490902493,565.122822606404,640.076610249091
"1111","weak",400,12,31460723,"1011","1011","1111",0,0,11,286.066941726368,375.938873090288,320.34471212747,403.542971517479,285.87242040185,372.126206659829,1023.64747673546,1091.04757856305,1039.507100875,1099.49049344515,1020.70418186386,1086.04913729834,339.137827184743,409.407003099762,1264.21801758018,1311.06413485686,329.950242044686,395.534806232037,363.296355805076,428.880919992427,332.192680285811,407.146467928498
"1111","weak",400,13,31460724,"1011","1011","1111",0,0,11,392.410691107823,475.962497753844,417.834074571339,495.495546399897,392.395354127128,474.812258659125,1048.7922761,1111.45791011489,1053.37744523243,1111.91675859118,1047.59775244318,1110.14137866948,426.26118297826,496.530358893279,1262.34681811791,1309.19293539459,439.934520866215,505.519085053566,475.038083289669,540.62264747702,441.372217548937,516.326005191624
"1111","weak",400,14,31460725,"1011","1011","1111",0,0,11,339.165724486166,425.041835391284,367.53962874975,449.65088696639,338.820950669241,423.607218850698,1142.70459833831,1210.52038722646,1138.38589372088,1203.94556751693,1147.85222092666,1211.04017750873,396.99298737115,467.262163286169,1413.17820710657,1460.02432438325,389.633056770168,455.217620957519,424.951755030316,490.536319217667,389.178689692553,464.13247733524
"1111","weak",400,15,31460726,"1011","1011","1111",0,0,11,501.792544935643,586.120013116833,531.981053608877,607.603479910776,500.329121508561,584.237159761066,1123.43735947453,1186.8502244257,1126.64014896909,1187.24625204857,1122.4929318874,1185.71624681797,537.244247993933,607.513423908952,1326.26321131651,1373.10932859319,539.363551050469,604.948115237821,577.972457392537,643.557021579888,543.246129735285,618.199917377971
"1111","weak",400,16,31460727,"1011","1011","1111",0,0,11,405.779994915407,489.131758972164,427.228705796564,505.340757884087,404.531510923491,487.884123566537,1041.95845234067,1108.63996379701,1042.28622197314,1104.48926336616,1048.08495898898,1109.62515428786,436.002521194028,506.271697109046,1251.42879970438,1298.27491698106,444.993686697424,510.578250884775,471.769461887569,537.35402607492,447.922276130817,522.876063773504
