"parameter","true"
"beta_intercept_y1",2.605430033
"beta_x_common1_y1",-0.275504915
"beta_x_common2_y1",-0.01288483
"beta_x_specific1_1_y1",-0.150158559
"beta_intercept_y2",3.652736966
"beta_x_common1_y2",-0.49084623
"beta_x_common2_y2",0.020352708
"beta_x_specific2_1_y2",0.000889674
"A[1,1]",1.03704453
"A[1,2]",-0.021314174
"A[2,1]",-0.02843018
"A[2,2]",0.916785162
"R[1,1]",-0.057669572
"R[1,2]",0.012324534
"R[2,1]",-0.044217939
"R[2,2]",0.033401891
"Lambda[1,1]",0.516369645
"Lambda[1,2]",0.110591912
"Lambda[2,1]",-0.025634856
"Lambda[2,2]",0.302714362
"Sigma[1,1]",0.021996041
"Sigma[1,2]",-0.001528895
"Sigma[2,1]",-0.001528895
"Sigma[2,2]",0.019506258
