"scope","criterion","model","include_time_lag","n","k","p","required_rank","rank","rank_ok","min_sv","max_sv","cond","mu_check_max_abs_diff","prop2_min_eig","prop2_min_sv","W_symmetric"
"W",NA,NA,NA,198,2,NA,NA,NA,NA,NA,NA,NA,NA,0.17397302736709,0.417100740070177,FALSE
"model","pAIC","1111",TRUE,198,2,12,16,16,TRUE,0.00777050412967724,1.97020506364578,253.54919459101,1.46549439250521e-14,NA,NA,NA
"model","pAIC","0111",TRUE,198,2,12,16,16,TRUE,0.0077787317856347,1.97016478045578,253.275833998309,1.46549439250521e-14,NA,NA,NA
"model","pAIC","1011",TRUE,198,2,12,16,16,TRUE,0.00778398614531409,1.97014177753903,253.101912151403,6.43929354282591e-15,NA,NA,NA
"model","pAIC","1101",FALSE,198,2,8,12,12,TRUE,0.00674551353290524,1.95964007221772,290.510138725304,6.17284001691587e-14,NA,NA,NA
"model","pAIC","0101",FALSE,198,2,8,12,12,TRUE,0.0068498605588971,1.9986187754369,291.77510377798,3.30846461338297e-14,NA,NA,NA
"model","pAIC","1001",FALSE,198,2,8,12,12,TRUE,0.00676510687792038,1.96211330842692,290.034340008843,1.88737914186277e-13,NA,NA,NA
"model","pAIC","d0dd",TRUE,198,2,12,16,16,TRUE,0.00778680663354826,1.97010569753617,253.005601686354,7.105427357601e-15,NA,NA,NA
"model","pAIC","0ddd",TRUE,198,2,12,16,16,TRUE,0.00778193361510554,1.97026421579204,253.184402905668,1.11022302462516e-14,NA,NA,NA
"model","pAIC","dddd",TRUE,198,2,12,16,16,TRUE,0.00777717672130323,1.97018440931349,253.329000987822,1.99840144432528e-14,NA,NA,NA
"model","pAIC","0011",TRUE,198,2,12,16,16,TRUE,0.00778270573736639,1.97012983633484,253.142018061383,1.99840144432528e-14,NA,NA,NA
"model","pAIC","000d",FALSE,198,2,8,12,12,TRUE,0.0070870660168661,1.96100002436123,276.701249811186,1.78190795452338e-13,NA,NA,NA
"model","pBIC","1111",TRUE,198,2,12,16,16,TRUE,0.00777050412967724,1.97020506364578,253.54919459101,1.46549439250521e-14,NA,NA,NA
"model","pBIC","0111",TRUE,198,2,12,16,16,TRUE,0.0077787317856347,1.97016478045578,253.275833998309,1.46549439250521e-14,NA,NA,NA
"model","pBIC","1011",TRUE,198,2,12,16,16,TRUE,0.00778270645401188,1.97012985502652,253.14199715331,1.17683640610267e-14,NA,NA,NA
"model","pBIC","1101",FALSE,198,2,8,12,12,TRUE,0.00675264118629269,1.96039556135064,290.315375460802,1.17461596005342e-13,NA,NA,NA
"model","pBIC","0101",FALSE,198,2,8,12,12,TRUE,0.00685659944722971,1.97999554546595,288.772234794309,6.88338275267597e-14,NA,NA,NA
"model","pBIC","1001",FALSE,198,2,8,12,12,TRUE,0.00676805997175152,1.96096964377985,289.738810229893,1.31450406115619e-13,NA,NA,NA
"model","pBIC","d0dd",TRUE,198,2,12,16,16,TRUE,0.00778680663354826,1.97010569753617,253.005601686354,7.105427357601e-15,NA,NA,NA
"model","pBIC","0ddd",TRUE,198,2,12,16,16,TRUE,0.00778193361510554,1.97026421579204,253.184402905668,1.11022302462516e-14,NA,NA,NA
"model","pBIC","dddd",TRUE,198,2,12,16,16,TRUE,0.00777717672130323,1.97018440931349,253.329000987822,1.99840144432528e-14,NA,NA,NA
"model","pBIC","0011",TRUE,198,2,12,16,16,TRUE,0.00778270573736639,1.97012983633484,253.142018061383,1.99840144432528e-14,NA,NA,NA
"model","pBIC","000d",FALSE,198,2,8,12,12,TRUE,0.0070870660168661,1.96100002436123,276.701249811186,1.78190795452338e-13,NA,NA,NA
