"model_id","n_params","d_eff_pAIC","d_eff_pBIC","loglik_pAIC","loglik_pBIC","AIC","pAIC","BIC","pBIC","gamma_pAIC","gamma_pBIC","R2_mean","adj_R2_mean","delta_AIC","delta_pAIC","delta_BIC","delta_pBIC"
"dddd",16,16,16,193.188726521102,193.188726521102,-354.377453042205,-354.377453042205,-290.674825662133,-290.674825662133,0,0,0.975758780569276,0.974696214546235,0,7.85305760782813,6.43242363641872,6.43242363641872
"0ddd",14,14,14,190.423524128057,190.423524128057,-352.847048256114,-352.847048256114,-297.107249298552,-297.107249298552,0,0,0.975466798012761,0.974363227641933,1.53040478609029,9.38346239391842,0,0
"1111",23,17.0086394495,17.0086394495,198.123894774516,198.123894774516,-350.247789549033,-362.230510650033,-258.67526269018,-294.51207183169,7.07945784384138,7.07945784384138,0.97662408694662,,4.12966349317179,0,38.4319866083719,2.59517746686191
"0111",19,15.4258409846904,15.4258409846904,193.51395713416,193.51395713416,-349.027914268321,-356.17623229894,-273.381044254485,-294.759569781942,5.62341325190349,5.62341325190349,0.976099327580514,,5.34953877388415,6.05427835109305,23.7262050440663,2.34767951661001
"1011",19,17.2110846828428,15.0059397665337,178.230466024066,174.118875417821,-318.460932048132,-322.038762682446,-242.814062034297,-258.481009462869,1258.92541179417,1e+06,0.976537184550749,,35.916520994073,40.1917479675867,54.2931872642551,38.6262398356828
"0011",15,15,15,174.101819854977,174.101819854977,-318.203639709954,-318.203639709954,-258.482426541137,-258.482426541137,0,0,0.97616939721082,0.975420791042338,36.1738133322502,44.0268709400783,38.6248227574144,38.6248227574144
"d0dd",14,14,14,171.513353388901,171.513353388901,-315.026706777802,-315.026706777802,-259.286907820239,-259.286907820239,0,0,0.975657409133619,0.974760572520416,39.350746264403,47.2038038722312,37.8203414783128,37.8203414783128
"1001",15,14.9110022915459,14.732770830668,-318.596750673802,-318.948714200862,667.193501347604,667.015505930696,726.914714516421,726.020233219438,6.30957344480193,19.9526231496888,0.509369023472901,,1021.57095438981,1029.24601658073,1024.02196381497,1023.12748251799
"1101",19,16.5177384060076,14.303203471743,-314.719300073758,-318.890145980634,667.438600147516,662.474076959531,743.085470161351,723.333676473615,17.7827941003892,56.2341325190349,0.533098110927331,,1021.81605318972,1024.70458760956,1040.1927194599,1020.44092577217
"0101",15,14.878596492113,14.6345121505741,-323.443904467606,-323.92755624604,676.887808935211,676.645001919437,736.609022104028,735.3901914443,4.46683592150963,15.8489319246111,0.383808785984786,,1031.26526197742,1038.87551256947,1033.71627140258,1032.49744074285
"000d",10,10,10,-442.376940635453,-442.376940635453,904.753881270906,904.753881270906,944.568023383451,944.568023383451,0,0,0.437988369917316,0.429297468421192,1259.13133431311,1266.98439192094,1241.675272682,1241.675272682
