region_id,code_6,municipality
1,252018,大津市
2,252026,彦根市
3,252034,長浜市
4,252042,近江八幡市
5,252069,草津市
6,252077,守山市
7,252085,栗東市
8,252093,甲賀市
9,252107,野洲市
10,252115,湖南市
11,252123,高島市
12,252131,東近江市
13,252140,米原市
14,253839,日野町
15,253847,竜王町
16,254258,愛荘町
17,254410,豊郷町
18,254428,甲良町
19,254436,多賀町
20,261009,京都市
21,262013,福知山市
22,262021,舞鶴市
23,262030,綾部市
24,262048,宇治市
25,262056,宮津市
26,262064,亀岡市
27,262072,城陽市
28,262081,向日市
29,262099,長岡京市
30,262102,八幡市
31,262111,京田辺市
32,262129,京丹後市
33,262137,南丹市
34,262145,木津川市
35,263036,大山崎町
36,263222,久御山町
37,263435,井手町
38,263443,宇治田原町
39,263648,笠置町
40,263656,和束町
41,263664,精華町
42,263672,南山城村
43,264075,京丹波町
44,264636,伊根町
45,264652,与謝野町
46,271004,大阪市
47,271403,堺市
48,272027,岸和田市
49,272035,豊中市
50,272043,池田市
51,272051,吹田市
52,272060,泉大津市
53,272078,高槻市
54,272086,貝塚市
55,272094,守口市
56,272108,枚方市
57,272116,茨木市
58,272124,八尾市
59,272132,泉佐野市
60,272141,富田林市
61,272159,寝屋川市
62,272167,河内長野市
63,272175,松原市
64,272183,大東市
65,272191,和泉市
66,272205,箕面市
67,272213,柏原市
68,272221,羽曳野市
69,272230,門真市
70,272248,摂津市
71,272256,高石市
72,272264,藤井寺市
73,272272,東大阪市
74,272281,泉南市
75,272299,四條畷市
76,272302,交野市
77,272311,大阪狭山市
78,272329,阪南市
79,273015,島本町
80,273210,豊能町
81,273228,能勢町
82,273414,忠岡町
83,273619,熊取町
84,273627,田尻町
85,273660,岬町
86,273813,太子町_大阪
87,273821,河南町
88,273830,千早赤阪村
89,281000,神戸市
90,282014,姫路市
91,282022,尼崎市
92,282031,明石市
93,282049,西宮市
94,282057,洲本市
95,282065,芦屋市
96,282073,伊丹市
97,282081,相生市
98,282090,豊岡市
99,282103,加古川市
100,282120,赤穂市
101,282138,西脇市
102,282146,宝塚市
103,282154,三木市
104,282162,高砂市
105,282171,川西市
106,282189,小野市
107,282197,三田市
108,282201,加西市
109,282219,篠山市
110,282227,養父市
111,282235,丹波市
112,282243,南あわじ市
113,282251,朝来市
114,282260,淡路市
115,282278,宍粟市
116,282286,加東市
117,282294,たつの市
118,283011,猪名川町
119,283657,多可町
120,283819,稲美町
121,283827,播磨町
122,284424,市川町
123,284432,福崎町
124,284467,神河町
125,284645,太子町_兵庫
126,284815,上郡町
127,285013,佐用町
128,285854,香美町
129,285862,新温泉町
130,292010,奈良市
131,292028,大和高田市
132,292036,大和郡山市
133,292044,天理市
134,292052,橿原市
135,292061,桜井市
136,292079,五條市
137,292087,御所市
138,292095,生駒市
139,292109,香芝市
140,292117,葛城市
141,292125,宇陀市
142,293229,山添村
143,293423,平群町
144,293431,三郷町
145,293440,斑鳩町
146,293458,安堵町
147,293610,川西町
148,293628,三宅町
149,293636,田原本町
150,293857,曽爾村
151,293865,御杖村
152,294012,高取町
153,294021,明日香村
154,294241,上牧町
155,294250,王寺町
156,294268,広陵町
157,294276,河合町
158,294411,吉野町
159,294420,大淀町
160,294438,下市町
161,294446,黒滝村
162,294462,天川村
163,294471,野迫川村
164,294497,十津川村
165,294501,下北山村
166,294519,上北山村
167,294527,川上村
168,294535,東吉野村
169,302015,和歌山市
170,302023,海南市
171,302031,橋本市
172,302040,有田市
173,302058,御坊市
174,302066,田辺市
175,302074,新宮市
176,302082,紀の川市
177,302091,岩出市
178,303046,紀美野町
179,303411,かつらぎ町
180,303437,九度山町
181,303445,高野町
182,303615,湯浅町
183,303623,広川町
184,303666,有田川町
185,303810,美浜町
186,303828,日高町
187,303836,由良町
188,303909,印南町
189,303917,みなべ町
190,303925,日高川町
191,304018,白浜町
192,304042,上富田町
193,304069,すさみ町
194,304212,那智勝浦町
195,304221,太地町
196,304247,古座川町
197,304271,北山村
198,304280,串本町
